순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,삼진,장타율,출루율,OPS,득점권타율
1,안인산,KT,0.500,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0.500,0.500,1.000,0.000
2,최원준,KT,0.344,124,593,511,106,176,32,4,9,243,70,3,4,68,82,0.476,0.425,0.901,0.355
3,문상철,KT,0.333,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0.333,0.333,0.666,0.000
3,허경민,KT,0.333,96,348,309,56,103,14,0,4,129,41,1,1,26,30,0.417,0.403,0.820,0.297
5,장진혁,KT,0.327,56,60,49,19,16,5,1,3,32,10,0,1,9,17,0.653,0.433,1.086,0.111
6,힐리어드,KT,0.305,126,561,498,102,152,21,3,37,290,115,0,6,55,159,0.582,0.373,0.955,0.303
7,조대현,KT,0.304,46,53,46,6,14,1,0,1,18,2,2,0,5,10,0.391,0.373,0.764,0.188
8,안현민,KT,0.302,78,344,268,50,81,20,1,13,142,54,0,2,57,74,0.530,0.451,0.981,0.380
9,류현인,KT,0.301,74,192,173,25,52,12,0,1,67,18,2,3,12,38,0.387,0.347,0.734,0.283
10,이정훈,KT,0.300,74,85,70,5,21,0,0,1,24,16,0,0,14,10,0.343,0.424,0.767,0.385
11,김민혁,KT,0.297,102,376,337,46,100,10,2,1,117,39,6,2,26,61,0.347,0.354,0.701,0.333
12,유준규,KT,0.294,45,62,51,15,15,1,2,0,20,11,5,0,6,16,0.392,0.368,0.760,0.438
13,오윤석,KT,0.288,99,197,177,28,51,12,0,1,66,26,2,2,16,44,0.373,0.344,0.717,0.420
14,이재원,KT,0.286,8,7,7,2,2,0,1,1,7,2,0,0,0,1,1.000,0.286,1.286,0.000
15,김상수,KT,0.282,119,451,376,43,106,12,1,1,123,37,14,1,51,57,0.327,0.380,0.707,0.282
16,김현수,KT,0.281,127,561,502,61,141,29,0,11,203,83,0,4,50,64,0.404,0.349,0.753,0.331
17,권동진,KT,0.261,111,239,207,43,54,14,2,2,78,31,4,1,25,71,0.377,0.345,0.722,0.328
18,강민성,KT,0.250,9,4,4,0,1,0,0,0,1,1,0,0,0,0,0.250,0.250,0.500,0.333
19,한승택,KT,0.220,113,321,273,33,60,11,0,1,74,31,16,4,26,77,0.271,0.289,0.560,0.230
20,이정범,KT,0.200,9,22,20,1,4,1,0,0,5,3,0,1,1,4,0.250,0.227,0.477,0.250
21,배정대,KT,0.194,91,118,108,22,21,7,1,0,30,11,1,0,6,35,0.278,0.256,0.534,0.212
22,장성우,KT,0.193,63,233,187,32,36,10,0,10,76,38,0,1,43,58,0.406,0.348,0.754,0.265
23,이강민,KT,0.185,56,163,151,13,28,1,0,0,29,15,2,1,8,42,0.192,0.230,0.422,0.273
24,강현우,KT,0.182,25,26,22,1,4,0,0,0,4,1,0,0,4,7,0.182,0.308,0.490,0.167
25,장준원,KT,0.179,85,128,106,9,19,2,0,3,30,14,7,0,14,33,0.283,0.281,0.564,0.195
26,손민석,KT,0.100,8,10,10,1,1,0,0,0,1,1,0,0,0,2,0.100,0.100,0.200,0.333
27,김민석,KT,0.000,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0.000,0.333,0.333,0.000
27,김민수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
27,김정운,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
27,문용익,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
1,이진용,삼성,0.500,7,2,2,0,1,0,0,0,1,1,0,0,0,0,0.500,0.500,1.000,0.500
2,이창용,삼성,0.417,11,12,12,1,5,3,0,0,8,4,0,0,0,5,0.667,0.417,1.084,1.000
3,구자욱,삼성,0.363,109,478,405,84,147,27,6,14,228,98,1,5,62,68,0.563,0.449,1.012,0.412
4,김지찬,삼성,0.320,123,493,415,94,133,10,5,0,153,37,11,3,59,38,0.369,0.409,0.778,0.370
5,최형우,삼성,0.315,123,527,448,59,141,24,0,17,216,100,0,8,66,93,0.482,0.402,0.884,0.351
6,김성윤,삼성,0.300,111,437,373,69,112,18,2,3,143,44,12,3,47,43,0.383,0.379,0.762,0.347
7,디아즈,삼성,0.299,130,576,501,80,150,31,0,23,250,114,0,7,66,94,0.499,0.378,0.877,0.351
8,류지혁,삼성,0.291,126,493,422,59,123,18,6,5,168,60,7,3,51,72,0.398,0.379,0.777,0.358
9,김재상,삼성,0.286,8,16,14,1,4,0,0,0,4,1,1,0,1,4,0.286,0.333,0.619,0.286
10,김헌곤,삼성,0.276,73,94,87,10,24,3,1,0,29,7,0,1,6,16,0.333,0.319,0.652,0.190
11,박승규,삼성,0.274,94,349,288,66,79,11,6,12,138,46,0,3,53,52,0.479,0.393,0.872,0.225
12,강민호,삼성,0.267,99,309,270,33,72,15,0,11,120,53,0,1,32,67,0.444,0.356,0.800,0.321
13,심재훈,삼성,0.255,40,51,47,5,12,2,0,0,14,1,0,0,4,13,0.298,0.314,0.612,0.125
14,김현준,삼성,0.238,31,52,42,8,10,3,0,0,13,9,0,1,5,11,0.310,0.365,0.675,0.333
15,전병우,삼성,0.236,108,376,309,48,73,18,1,10,123,51,3,3,42,94,0.398,0.359,0.757,0.248
16,김도환,삼성,0.229,56,115,96,10,22,4,0,2,32,9,3,2,11,30,0.333,0.321,0.654,0.192
17,이재현,삼성,0.224,74,268,219,42,49,6,0,15,100,37,7,3,28,40,0.457,0.337,0.794,0.250
18,박계범,삼성,0.174,44,50,46,9,8,0,0,2,14,3,1,0,3,20,0.304,0.224,0.528,0.059
19,양우현,삼성,0.173,79,117,98,21,17,4,0,1,24,11,1,4,12,29,0.245,0.267,0.512,0.138
20,김영웅,삼성,0.173,45,166,156,11,27,4,0,4,43,16,0,2,8,48,0.276,0.211,0.487,0.167
21,김재혁,삼성,0.167,10,6,6,1,1,0,0,0,1,0,0,0,0,2,0.167,0.167,0.334,0.000
22,김상준,삼성,0.161,49,72,62,13,10,1,0,0,11,2,3,0,4,17,0.177,0.246,0.423,0.067
23,박세혁,삼성,0.151,39,57,53,6,8,1,0,0,9,1,0,0,4,12,0.170,0.211,0.381,0.056
24,김태훈,삼성,0.143,12,23,21,3,3,1,0,1,7,3,0,0,2,6,0.333,0.217,0.550,0.000
25,홍현빈,삼성,0.125,9,8,8,1,1,0,0,0,1,1,0,0,0,3,0.125,0.125,0.250,0.250
26,장승현,삼성,0.103,63,36,29,1,3,0,0,0,3,0,2,0,4,11,0.103,0.235,0.338,0.000
27,이성규,삼성,0.083,19,22,12,6,1,0,0,0,1,0,2,0,7,7,0.083,0.450,0.533,0.000
28,이해승,삼성,0.071,22,17,14,1,1,0,0,0,1,1,1,0,1,6,0.071,0.188,0.259,0.000
29,함수호,삼성,0.063,11,18,16,0,1,0,0,0,1,2,0,0,2,5,0.063,0.167,0.230,0.167
30,김재성,삼성,0.000,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
1,오스틴,LG,0.342,130,579,491,106,168,33,4,39,326,121,0,4,74,82,0.664,0.435,1.099,0.401
2,문성주,LG,0.293,69,234,205,17,60,9,0,1,72,21,3,2,21,28,0.351,0.364,0.715,0.232
3,박해민,LG,0.289,130,527,439,73,127,17,2,4,160,55,18,9,50,60,0.364,0.369,0.733,0.295
4,송찬의,LG,0.289,106,384,332,62,96,29,2,15,174,66,1,0,30,87,0.524,0.384,0.908,0.280
5,구본혁,LG,0.289,121,343,301,36,87,13,0,0,100,26,14,1,25,40,0.332,0.347,0.679,0.282
6,천성호,LG,0.285,93,249,228,39,65,14,2,2,89,31,2,0,14,40,0.390,0.340,0.730,0.229
7,문정빈,LG,0.255,77,272,239,34,61,10,3,17,128,57,0,3,26,82,0.536,0.335,0.871,0.247
8,신민재,LG,0.252,126,430,373,52,94,5,1,0,101,26,8,2,44,55,0.271,0.334,0.605,0.279
9,문보경,LG,0.252,97,383,318,41,80,13,0,9,120,56,0,7,57,74,0.377,0.360,0.737,0.314
10,홍창기,LG,0.248,120,497,399,69,99,15,2,0,118,33,3,5,74,106,0.296,0.383,0.679,0.301
11,이재원,LG,0.244,47,101,90,10,22,7,0,5,44,18,0,1,6,34,0.489,0.317,0.806,0.212
12,오지환,LG,0.239,117,418,364,49,87,15,1,13,143,57,7,3,39,88,0.393,0.319,0.712,0.255
13,박동원,LG,0.224,116,384,317,46,71,15,0,12,122,52,10,4,49,86,0.385,0.332,0.717,0.207
14,손용준,LG,0.222,10,12,9,0,2,1,0,0,3,1,0,0,2,2,0.333,0.417,0.750,0.333
15,이주헌,LG,0.215,68,138,130,12,28,6,0,4,46,17,1,1,3,46,0.354,0.248,0.602,0.314
16,이영빈,LG,0.209,65,93,86,10,18,2,0,1,23,9,1,1,5,25,0.267,0.250,0.517,0.235
17,김현종,LG,0.143,23,14,14,3,2,0,0,0,2,0,0,0,0,5,0.143,0.143,0.286,0.000
18,최원영,LG,0.091,52,23,22,11,2,1,0,0,3,1,1,0,0,4,0.136,0.091,0.227,0.167
19,강민균,LG,0.000,7,7,7,1,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000
19,김민수,LG,0.000,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
19,김성진,LG,0.000,4,6,5,0,0,0,0,0,0,0,0,0,1,3,0.000,0.167,0.167,0.000
19,김영우,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,김주성,LG,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
19,박시원,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
19,손주영,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,양우진,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,우강훈,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,이정용,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,장현식,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
19,조원태,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.000
1,석정우,SSG,0.500,3,3,2,0,1,0,0,0,1,1,0,0,1,1,0.500,0.667,1.167,0.500
2,박성한,SSG,0.331,131,569,483,88,160,27,2,4,203,65,0,3,81,77,0.420,0.427,0.847,0.409
3,최정,SSG,0.306,71,305,255,45,78,17,1,20,157,57,0,7,37,66,0.616,0.397,1.013,0.268
4,고명준,SSG,0.295,44,179,166,20,49,8,0,11,90,25,0,1,12,38,0.542,0.341,0.883,0.231
5,에레디아,SSG,0.280,102,444,403,50,113,21,1,17,187,87,0,5,25,73,0.464,0.336,0.800,0.333
6,정준재,SSG,0.271,125,532,457,66,124,13,7,1,154,38,13,6,51,77,0.337,0.347,0.684,0.317
7,김성욱,SSG,0.261,63,142,119,20,31,4,0,4,47,13,1,1,18,27,0.395,0.369,0.764,0.250
8,조형우,SSG,0.257,98,345,307,42,79,20,0,8,123,37,6,4,25,61,0.401,0.316,0.717,0.227
9,홍대인,SSG,0.254,75,74,63,17,16,7,0,0,23,9,2,0,9,17,0.365,0.347,0.712,0.190
10,이지영,SSG,0.252,57,123,111,13,28,5,0,1,36,8,3,1,8,13,0.324,0.300,0.624,0.227
11,전의산,SSG,0.250,73,281,256,26,64,15,0,11,112,45,0,2,22,93,0.438,0.310,0.748,0.288
12,오태곤,SSG,0.245,96,256,233,33,57,10,0,9,94,31,0,2,19,72,0.403,0.305,0.708,0.271
13,최지훈,SSG,0.238,128,525,474,68,113,20,7,12,183,52,2,7,38,83,0.386,0.296,0.682,0.206
14,최준우,SSG,0.238,26,51,42,10,10,2,0,1,15,2,0,0,8,10,0.357,0.373,0.730,0.100
15,안상현,SSG,0.236,81,222,191,31,45,8,0,3,62,19,8,0,20,61,0.325,0.318,0.643,0.269
16,채현우,SSG,0.226,73,68,62,19,14,3,0,1,20,7,2,2,2,22,0.323,0.242,0.565,0.353
17,김재환,SSG,0.225,119,480,405,50,91,9,1,22,168,67,0,2,69,139,0.415,0.342,0.757,0.262
18,임근우,SSG,0.224,36,84,76,7,17,3,1,1,25,12,3,0,2,23,0.329,0.272,0.601,0.333
19,한유섬,SSG,0.204,66,193,162,12,33,2,0,2,41,14,1,2,25,44,0.253,0.318,0.571,0.163
20,최윤석,SSG,0.200,6,12,10,1,2,1,0,0,3,0,0,0,1,2,0.300,0.333,0.633,0.000
21,신범수,SSG,0.190,16,23,21,2,4,1,0,1,8,2,0,0,2,8,0.381,0.261,0.642,0.250
22,마드리스,SSG,0.175,17,72,63,10,11,1,0,4,24,9,0,0,9,22,0.381,0.278,0.659,0.133
23,안재연,SSG,0.167,11,25,24,4,4,0,1,0,6,3,0,0,1,10,0.250,0.200,0.450,0.167
24,류효승,SSG,0.160,9,26,25,1,4,0,0,1,7,1,0,0,1,4,0.280,0.192,0.472,0.000
25,김민식,SSG,0.143,14,28,28,0,4,0,0,0,4,0,0,0,0,5,0.143,0.143,0.286,0.000
26,오시후,SSG,0.125,4,10,8,2,1,0,0,0,1,0,0,0,1,5,0.125,0.300,0.425,0.000
27,김민준,SSG,0.100,17,11,10,2,1,0,0,0,1,0,0,0,1,3,0.100,0.182,0.282,0.000
28,김정민,SSG,0.077,26,15,13,2,1,0,0,0,1,1,0,0,2,4,0.077,0.200,0.277,0.000
29,김성현,SSG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
29,김요셉,SSG,0.000,3,9,9,0,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000
1,전다민,두산,1.000,11,1,1,2,1,0,0,0,1,1,0,0,0,0,1.000,1.000,2.000,1.000
2,류현준,두산,0.333,2,3,3,1,1,0,0,0,1,0,0,0,0,0,0.333,0.333,0.666,0.000
3,조수행,두산,0.321,106,194,165,25,53,5,3,0,64,19,9,0,18,27,0.388,0.395,0.783,0.364
4,김민석,두산,0.307,122,463,407,54,125,20,3,5,166,48,2,1,48,79,0.408,0.386,0.794,0.374
5,박준순,두산,0.299,93,393,358,51,107,15,5,16,180,59,0,2,25,78,0.503,0.356,0.859,0.340
6,세베리노,두산,0.291,34,124,110,15,32,8,1,4,54,21,0,0,14,31,0.491,0.371,0.862,0.393
7,카메론,두산,0.287,75,314,279,39,80,19,3,9,132,43,0,2,30,53,0.473,0.360,0.833,0.244
8,박찬호,두산,0.283,130,555,487,80,138,24,2,5,181,50,8,5,53,73,0.372,0.353,0.725,0.288
9,박지훈,두산,0.264,108,280,239,38,63,8,3,1,80,23,12,0,25,46,0.335,0.343,0.678,0.279
10,안재석,두산,0.261,97,391,356,44,93,26,2,10,153,59,3,3,25,67,0.430,0.314,0.744,0.284
11,강승호,두산,0.258,94,240,209,36,54,8,0,8,86,34,2,5,15,61,0.411,0.328,0.739,0.207
12,정수빈,두산,0.254,129,486,422,57,107,13,4,7,149,45,9,2,48,71,0.353,0.335,0.688,0.313
13,양의지,두산,0.253,124,496,415,50,105,17,0,20,182,72,0,9,54,55,0.439,0.357,0.796,0.240
