game_id,date,team,opponent,home_away,status,result,score_team,score_opp,ballpark,cancellation_reason
20160401HTNC0_KIA,2016-04-01,KIA,NC,A,Final,Loss,4.0,5.0,마산,
20160401HTNC0_NC,2016-04-01,NC,KIA,H,Final,Win,5.0,4.0,마산,
20160401HHLG0_한화,2016-04-01,한화,LG,A,Final,Loss,4.0,5.0,잠실,
20160401HHLG0_LG,2016-04-01,LG,한화,H,Final,Win,5.0,4.0,잠실,
20160401OBSS0_두산,2016-04-01,두산,삼성,A,Final,Win,5.0,1.0,대구,
20160401OBSS0_삼성,2016-04-01,삼성,두산,H,Final,Loss,1.0,5.0,대구,
20160401KTSK0_KT,2016-04-01,KT,SK,A,Final,Win,8.0,4.0,문학,
20160401KTSK0_SK,2016-04-01,SK,KT,H,Final,Loss,4.0,8.0,문학,
20160401LTWO0_롯데,2016-04-01,롯데,넥센,A,Final,Win,2.0,1.0,고척,
20160401LTWO0_넥센,2016-04-01,넥센,롯데,H,Final,Loss,1.0,2.0,고척,
20160402LTWO0_롯데,2016-04-02,롯데,넥센,A,Final,Loss,3.0,5.0,고척,
20160402LTWO0_넥센,2016-04-02,넥센,롯데,H,Final,Win,5.0,3.0,고척,
20160402HTNC0_KIA,2016-04-02,KIA,NC,A,Final,Win,4.0,3.0,마산,
20160402HTNC0_NC,2016-04-02,NC,KIA,H,Final,Loss,3.0,4.0,마산,
20160402HHLG0_한화,2016-04-02,한화,LG,A,Final,Loss,7.0,8.0,잠실,
20160402HHLG0_LG,2016-04-02,LG,한화,H,Final,Win,8.0,7.0,잠실,
20160402OBSS0_두산,2016-04-02,두산,삼성,A,Final,Loss,6.0,10.0,대구,
20160402OBSS0_삼성,2016-04-02,삼성,두산,H,Final,Win,10.0,6.0,대구,
20160402KTSK0_KT,2016-04-02,KT,SK,A,Final,Loss,3.0,4.0,문학,
20160402KTSK0_SK,2016-04-02,SK,KT,H,Final,Win,4.0,3.0,문학,
20160403KTSK0_KT,2016-04-03,KT,SK,A,Final,Win,5.0,4.0,문학,
20160403KTSK0_SK,2016-04-03,SK,KT,H,Final,Loss,4.0,5.0,문학,
20160403LTWO0_롯데,2016-04-03,롯데,넥센,A,Final,Loss,5.0,6.0,고척,
20160403LTWO0_넥센,2016-04-03,넥센,롯데,H,Final,Win,6.0,5.0,고척,
20160405WOHH0_넥센,2016-04-05,넥센,한화,A,Final,Loss,5.0,9.0,한밭,
20160405WOHH0_한화,2016-04-05,한화,넥센,H,Final,Win,9.0,5.0,한밭,
20160405NCOB0_NC,2016-04-05,NC,두산,A,Final,Loss,2.0,6.0,잠실,
20160405NCOB0_두산,2016-04-05,두산,NC,H,Final,Win,6.0,2.0,잠실,
20160405SKLT0_SK,2016-04-05,SK,롯데,A,Final,Loss,1.0,2.0,사직,
20160405SKLT0_롯데,2016-04-05,롯데,SK,H,Final,Win,2.0,1.0,사직,
20160405LGHT0_LG,2016-04-05,LG,KIA,A,Final,Loss,1.0,4.0,광주,
20160405LGHT0_KIA,2016-04-05,KIA,LG,H,Final,Win,4.0,1.0,광주,
20160405SSKT0_삼성,2016-04-05,삼성,KT,A,Final,Loss,3.0,8.0,수원,
20160405SSKT0_KT,2016-04-05,KT,삼성,H,Final,Win,8.0,3.0,수원,
20160406WOHH0_넥센,2016-04-06,넥센,한화,A,Final,Win,6.0,4.0,한밭,
20160406WOHH0_한화,2016-04-06,한화,넥센,H,Final,Loss,4.0,6.0,한밭,
20160406NCOB0_NC,2016-04-06,NC,두산,A,Final,Loss,0.0,2.0,잠실,
20160406NCOB0_두산,2016-04-06,두산,NC,H,Final,Win,2.0,0.0,잠실,
20160406SKLT0_SK,2016-04-06,SK,롯데,A,Final,Loss,1.0,11.0,사직,
20160406SKLT0_롯데,2016-04-06,롯데,SK,H,Final,Win,11.0,1.0,사직,
20160406SSKT0_삼성,2016-04-06,삼성,KT,A,Final,Win,11.0,6.0,수원,
20160406SSKT0_KT,2016-04-06,KT,삼성,H,Final,Loss,6.0,11.0,수원,
20160407WOHH0_넥센,2016-04-07,넥센,한화,A,Final,Win,7.0,3.0,한밭,
20160407WOHH0_한화,2016-04-07,한화,넥센,H,Final,Loss,3.0,7.0,한밭,
20160407NCOB0_NC,2016-04-07,NC,두산,A,Final,Win,8.0,2.0,잠실,
20160407NCOB0_두산,2016-04-07,두산,NC,H,Final,Loss,2.0,8.0,잠실,
20160407SKLT0_SK,2016-04-07,SK,롯데,A,Final,Win,8.0,3.0,사직,
20160407SKLT0_롯데,2016-04-07,롯데,SK,H,Final,Loss,3.0,8.0,사직,
20160407LGHT0_LG,2016-04-07,LG,KIA,A,Final,Win,8.0,4.0,광주,
20160407LGHT0_KIA,2016-04-07,KIA,LG,H,Final,Loss,4.0,8.0,광주,
20160407SSKT0_삼성,2016-04-07,삼성,KT,A,Final,Win,3.0,1.0,수원,
20160407SSKT0_KT,2016-04-07,KT,삼성,H,Final,Loss,1.0,3.0,수원,
20160408HHNC0_한화,2016-04-08,한화,NC,A,Final,Loss,4.0,5.0,마산,
20160408HHNC0_NC,2016-04-08,NC,한화,H,Final,Win,5.0,4.0,마산,
20160408WOOB0_넥센,2016-04-08,넥센,두산,A,Final,Loss,4.0,6.0,잠실,
20160408WOOB0_두산,2016-04-08,두산,넥센,H,Final,Win,6.0,4.0,잠실,
20160408SSLT0_삼성,2016-04-08,삼성,롯데,A,Final,Win,7.0,3.0,사직,
20160408SSLT0_롯데,2016-04-08,롯데,삼성,H,Final,Loss,3.0,7.0,사직,
20160408LGSK0_LG,2016-04-08,LG,SK,A,Final,Loss,2.0,3.0,문학,
20160408LGSK0_SK,2016-04-08,SK,LG,H,Final,Win,3.0,2.0,문학,
20160408HTKT0_KIA,2016-04-08,KIA,KT,A,Final,Loss,0.0,4.0,수원,
20160408HTKT0_KT,2016-04-08,KT,KIA,H,Final,Win,4.0,0.0,수원,
20160409SSLT0_삼성,2016-04-09,삼성,롯데,A,Final,Loss,4.0,7.0,사직,
20160409SSLT0_롯데,2016-04-09,롯데,삼성,H,Final,Win,7.0,4.0,사직,
20160409HHNC0_한화,2016-04-09,한화,NC,A,Final,Loss,1.0,10.0,마산,
20160409HHNC0_NC,2016-04-09,NC,한화,H,Final,Win,10.0,1.0,마산,
20160409LGSK0_LG,2016-04-09,LG,SK,A,Final,Loss,3.0,4.0,문학,
20160409LGSK0_SK,2016-04-09,SK,LG,H,Final,Win,4.0,3.0,문학,
20160409HTKT0_KIA,2016-04-09,KIA,KT,A,Final,Win,6.0,3.0,수원,
20160409HTKT0_KT,2016-04-09,KT,KIA,H,Final,Loss,3.0,6.0,수원,
20160410HHNC0_한화,2016-04-10,한화,NC,A,Final,Win,2.0,1.0,마산,
20160410HHNC0_NC,2016-04-10,NC,한화,H,Final,Loss,1.0,2.0,마산,
20160410WOOB0_넥센,2016-04-10,넥센,두산,A,Final,Win,5.0,4.0,잠실,
20160410WOOB0_두산,2016-04-10,두산,넥센,H,Final,Loss,4.0,5.0,잠실,
20160410SSLT0_삼성,2016-04-10,삼성,롯데,A,Final,Loss,1.0,5.0,사직,
20160410SSLT0_롯데,2016-04-10,롯데,삼성,H,Final,Win,5.0,1.0,사직,
20160410HTKT0_KIA,2016-04-10,KIA,KT,A,Final,Loss,6.0,9.0,수원,
20160410HTKT0_KT,2016-04-10,KT,KIA,H,Final,Win,9.0,6.0,수원,
20160410LGSK0_LG,2016-04-10,LG,SK,A,Final,Loss,6.0,7.0,문학,
20160410LGSK0_SK,2016-04-10,SK,LG,H,Final,Win,7.0,6.0,문학,
20160412OBHH0_두산,2016-04-12,두산,한화,A,Final,Win,8.0,2.0,한밭,
20160412OBHH0_한화,2016-04-12,한화,두산,H,Final,Loss,2.0,8.0,한밭,
20160412LTLG0_롯데,2016-04-12,롯데,LG,A,Final,Loss,11.0,12.0,잠실,
20160412LTLG0_LG,2016-04-12,LG,롯데,H,Final,Win,12.0,11.0,잠실,
20160412NCSS0_NC,2016-04-12,NC,삼성,A,Final,Loss,5.0,16.0,대구,
20160412NCSS0_삼성,2016-04-12,삼성,NC,H,Final,Win,16.0,5.0,대구,
20160412HTSK0_KIA,2016-04-12,KIA,SK,A,Final,Win,7.0,6.0,문학,
20160412HTSK0_SK,2016-04-12,SK,KIA,H,Final,Loss,6.0,7.0,문학,
20160412KTWO0_KT,2016-04-12,KT,넥센,A,Final,Loss,2.0,5.0,고척,
20160412KTWO0_넥센,2016-04-12,넥센,KT,H,Final,Win,5.0,2.0,고척,
20160413OBHH0_두산,2016-04-13,두산,한화,A,Final,Win,7.0,3.0,한밭,
20160413OBHH0_한화,2016-04-13,한화,두산,H,Final,Loss,3.0,7.0,한밭,
20160413LTLG0_롯데,2016-04-13,롯데,LG,A,Final,Loss,3.0,5.0,잠실,
20160413LTLG0_LG,2016-04-13,LG,롯데,H,Final,Win,5.0,3.0,잠실,
20160413NCSS0_NC,2016-04-13,NC,삼성,A,Final,Win,7.0,2.0,대구,
20160413NCSS0_삼성,2016-04-13,삼성,NC,H,Final,Loss,2.0,7.0,대구,
20160413HTSK0_KIA,2016-04-13,KIA,SK,A,Final,Loss,0.0,2.0,문학,
20160413HTSK0_SK,2016-04-13,SK,KIA,H,Final,Win,2.0,0.0,문학,
20160413KTWO0_KT,2016-04-13,KT,넥센,A,Final,Win,7.0,6.0,고척,
20160413KTWO0_넥센,2016-04-13,넥센,KT,H,Final,Loss,6.0,7.0,고척,
20160414OBHH0_두산,2016-04-14,두산,한화,A,Final,Win,17.0,2.0,한밭,
20160414OBHH0_한화,2016-04-14,한화,두산,H,Final,Loss,2.0,17.0,한밭,
20160414LTLG0_롯데,2016-04-14,롯데,LG,A,Final,Win,9.0,0.0,잠실,
20160414LTLG0_LG,2016-04-14,LG,롯데,H,Final,Loss,0.0,9.0,잠실,
20160414NCSS0_NC,2016-04-14,NC,삼성,A,Final,Loss,5.0,7.0,대구,
20160414NCSS0_삼성,2016-04-14,삼성,NC,H,Final,Win,7.0,5.0,대구,
20160414HTSK0_KIA,2016-04-14,KIA,SK,A,Final,Loss,6.0,7.0,문학,
20160414HTSK0_SK,2016-04-14,SK,KIA,H,Final,Win,7.0,6.0,문학,
20160414KTWO0_KT,2016-04-14,KT,넥센,A,Final,Win,5.0,4.0,고척,
20160414KTWO0_넥센,2016-04-14,넥센,KT,H,Final,Loss,4.0,5.0,고척,
20160415LGHH0_LG,2016-04-15,LG,한화,A,Final,Win,18.0,2.0,한밭,
20160415LGHH0_한화,2016-04-15,한화,LG,H,Final,Loss,2.0,18.0,한밭,
20160415LTNC0_롯데,2016-04-15,롯데,NC,A,Final,Loss,0.0,3.0,마산,
20160415LTNC0_NC,2016-04-15,NC,롯데,H,Final,Win,3.0,0.0,마산,
20160415SSOB0_삼성,2016-04-15,삼성,두산,A,Final,Loss,2.0,7.0,잠실,
20160415SSOB0_두산,2016-04-15,두산,삼성,H,Final,Win,7.0,2.0,잠실,
20160415WOHT0_넥센,2016-04-15,넥센,KIA,A,Final,Loss,6.0,11.0,광주,
20160415WOHT0_KIA,2016-04-15,KIA,넥센,H,Final,Win,11.0,6.0,광주,
20160415SKKT0_SK,2016-04-15,SK,KT,A,Final,Win,7.0,3.0,수원,
20160415SKKT0_KT,2016-04-15,KT,SK,H,Final,Loss,3.0,7.0,수원,
20160417LTNC0_롯데,2016-04-17,롯데,NC,A,Final,Win,8.0,5.0,마산,
20160417LTNC0_NC,2016-04-17,NC,롯데,H,Final,Loss,5.0,8.0,마산,
20160417SSOB0_삼성,2016-04-17,삼성,두산,A,Final,Loss,2.0,6.0,잠실,
20160417SSOB0_두산,2016-04-17,두산,삼성,H,Final,Win,6.0,2.0,잠실,
20160417WOHT0_넥센,2016-04-17,넥센,KIA,A,Final,Win,2.0,1.0,광주,
20160417WOHT0_KIA,2016-04-17,KIA,넥센,H,Final,Loss,1.0,2.0,광주,
20160417SKKT0_SK,2016-04-17,SK,KT,A,Final,Win,10.0,6.0,수원,
20160417SKKT0_KT,2016-04-17,KT,SK,H,Final,Loss,6.0,10.0,수원,
20160417LGHH0_LG,2016-04-17,LG,한화,A,Final,Win,6.0,4.0,한밭,
20160417LGHH0_한화,2016-04-17,한화,LG,H,Final,Loss,4.0,6.0,한밭,
20160419NCLG0_NC,2016-04-19,NC,LG,A,Final,Win,8.0,1.0,잠실,
20160419NCLG0_LG,2016-04-19,LG,NC,H,Final,Loss,1.0,8.0,잠실,
20160419HHLT0_한화,2016-04-19,한화,롯데,A,Final,Loss,3.0,4.0,사직,
20160419HHLT0_롯데,2016-04-19,롯데,한화,H,Final,Win,4.0,3.0,사직,
