date,game_id,team,home_away,lineup_source,status_label,batting_order,position,player,war
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,1,좌익수,박재현,2.24
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,2,지명타자,고종욱,-0.33
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,3,3루수,김도영,6.08
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,4,1루수,카스트로,2.52
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,5,우익수,나성범,4.35
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,6,2루수,김선빈,1.61
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,7,중견수,김호령,3.01
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,8,포수,김태군,1.04
2026-09-03,20260903HTNC0,KIA,A,recent,최근 라인업 기준,9,유격수,하주석,0.27
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,1,중견수,최원준,5.27
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,2,1루수,김현수,1.67
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,3,우익수,안현민,3.04
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,4,좌익수,힐리어드,4.51
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,5,지명타자,김민혁,0.56
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,6,2루수,김상수,1.81
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,7,3루수,허경민,1.96
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,8,포수,조대현,0.24
2026-09-03,20260903HHKT0,KT,H,recent,최근 라인업 기준,9,유격수,장준원,-0.25
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,1,2루수,신민재,0.97
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,2,중견수,박해민,2.30
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,3,지명타자,오스틴,7.52
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,4,좌익수,송찬의,3.37
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,5,3루수,문보경,1.24
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,6,1루수,문정빈,2.26
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,7,유격수,구본혁,0.59
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,8,포수,박동원,1.03
2026-09-03,20260903LGOB0,LG,A,recent,최근 라인업 기준,9,우익수,홍창기,1.35
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,1,유격수,김주원,4.19
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,2,우익수,박시원,-0.01
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,3,2루수,박민우,4.10
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,4,1루수,블레인,0.37
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,5,지명타자,박건우,2.10
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,6,3루수,김휘집,1.34
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,7,좌익수,권희동,0.67
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,8,포수,김형준,1.32
2026-09-03,20260903HTNC0,NC,H,recent,최근 라인업 기준,9,중견수,천재환,0.82
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,1,2루수,정준재,2.15
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,2,유격수,박성한,5.62
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,3,좌익수,에레디아,1.20
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,4,1루수,전의산,0.77
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,5,지명타자,김재환,1.65
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,6,포수,조형우,1.11
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,7,중견수,최지훈,1.40
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,8,3루수,안상현,-0.13
2026-09-03,20260903SKWO0,SSG,A,recent,최근 라인업 기준,9,우익수,임근우,0.09
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,1,유격수,박찬호,2.69
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,2,좌익수,조수행,1.39
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,3,2루수,박준순,3.03
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,4,지명타자,양의지,3.41
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,5,3루수,안재석,1.05
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,6,1루수,세베리노,0.16
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,7,우익수,김대한,-0.07
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,8,포수,윤준호,0.01
2026-09-03,20260903LGOB0,두산,H,recent,최근 라인업 기준,9,중견수,정수빈,1.33
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,1,중견수,황성빈,0.83
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,2,1루수,나승엽,1.13
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,3,좌익수,레이예스,4.83
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,4,3루수,한동희,2.00
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,5,2루수,고승민,2.31
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,6,유격수,전민재,1.93
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,7,우익수,윤동희,0.44
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,8,지명타자,김동현,-0.10
2026-09-03,20260903LTSS0,롯데,A,recent,최근 라인업 기준,9,포수,손성빈,0.89
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,1,중견수,김지찬,3.80
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,2,우익수,김성윤,2.38
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,3,좌익수,구자욱,4.58
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,4,지명타자,최형우,3.54
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,5,1루수,디아즈,3.16
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,6,2루수,류지혁,2.80
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,7,포수,강민호,1.95
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,8,3루수,김영웅,-1.00
2026-09-03,20260903LTSS0,삼성,H,recent,최근 라인업 기준,9,유격수,이재현,1.24
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,1,2루수,서건창,2.72
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,2,중견수,추재현,1.05
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,3,지명타자,데이비슨,2.41
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,4,좌익수,히우라,0.79
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,5,우익수,박찬혁,0.57
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,6,1루수,안치홍,1.28
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,7,3루수,여동욱,0.16
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,8,포수,김동헌,-0.02
2026-09-03,20260903SKWO0,키움,H,recent,최근 라인업 기준,9,유격수,권혁빈,-0.38
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,1,중견수,최인호,0.06
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,2,우익수,페라자,4.52
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,3,좌익수,문현빈,3.66
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,4,지명타자,강백호,3.17
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,5,3루수,노시환,2.96
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,6,1루수,김태연,1.46
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,7,포수,허인서,2.96
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,8,2루수,황영묵,-0.23
2026-09-03,20260903HHKT0,한화,A,recent,최근 라인업 기준,9,유격수,심우준,1.08
