game_id,date,team,opponent,home_away,status,result,score_team,score_opp,ballpark
20260328KTLG0_KT,2026-03-28,KT,LG,A,Final,Win,11.0,7.0,잠실
20260328KTLG0_LG,2026-03-28,LG,KT,H,Final,Loss,7.0,11.0,잠실
20260328HTSK0_KIA,2026-03-28,KIA,SSG,A,Final,Loss,6.0,7.0,문학
20260328HTSK0_SSG,2026-03-28,SSG,KIA,H,Final,Win,7.0,6.0,문학
20260328LTSS0_롯데,2026-03-28,롯데,삼성,A,Final,Win,6.0,3.0,대구
20260328LTSS0_삼성,2026-03-28,삼성,롯데,H,Final,Loss,3.0,6.0,대구
20260328OBNC0_두산,2026-03-28,두산,NC,A,Final,Loss,0.0,6.0,창원
20260328OBNC0_NC,2026-03-28,NC,두산,H,Final,Win,6.0,0.0,창원
20260328WOHH0_키움,2026-03-28,키움,한화,A,Final,Loss,9.0,10.0,대전
20260328WOHH0_한화,2026-03-28,한화,키움,H,Final,Win,10.0,9.0,대전
20260329KTLG0_KT,2026-03-29,KT,LG,A,Final,Win,6.0,5.0,잠실
20260329KTLG0_LG,2026-03-29,LG,KT,H,Final,Loss,5.0,6.0,잠실
20260329HTSK0_KIA,2026-03-29,KIA,SSG,A,Final,Loss,6.0,11.0,문학
20260329HTSK0_SSG,2026-03-29,SSG,KIA,H,Final,Win,11.0,6.0,문학
20260329LTSS0_롯데,2026-03-29,롯데,삼성,A,Final,Win,6.0,2.0,대구
20260329LTSS0_삼성,2026-03-29,삼성,롯데,H,Final,Loss,2.0,6.0,대구
20260329OBNC0_두산,2026-03-29,두산,NC,A,Final,Win,9.0,6.0,창원
20260329OBNC0_NC,2026-03-29,NC,두산,H,Final,Loss,6.0,9.0,창원
20260329WOHH0_키움,2026-03-29,키움,한화,A,Final,Loss,4.0,10.0,대전
20260329WOHH0_한화,2026-03-29,한화,키움,H,Final,Win,10.0,4.0,대전
20260331HTLG0_KIA,2026-03-31,KIA,LG,A,Final,Win,7.0,2.0,잠실
20260331HTLG0_LG,2026-03-31,LG,KIA,H,Final,Loss,2.0,7.0,잠실
20260331WOSK0_키움,2026-03-31,키움,SSG,A,Final,Loss,3.0,9.0,문학
20260331WOSK0_SSG,2026-03-31,SSG,키움,H,Final,Win,9.0,3.0,문학
20260331LTNC0_롯데,2026-03-31,롯데,NC,A,Final,Loss,2.0,9.0,창원
20260331LTNC0_NC,2026-03-31,NC,롯데,H,Final,Win,9.0,2.0,창원
20260331KTHH0_KT,2026-03-31,KT,한화,A,Final,Win,9.0,4.0,대전
20260331KTHH0_한화,2026-03-31,한화,KT,H,Final,Loss,4.0,9.0,대전
20260401HTLG0_KIA,2026-04-01,KIA,LG,A,Final,Loss,2.0,7.0,잠실
20260401HTLG0_LG,2026-04-01,LG,KIA,H,Final,Win,7.0,2.0,잠실
20260401WOSK0_키움,2026-04-01,키움,SSG,A,Final,Win,11.0,2.0,문학
20260401WOSK0_SSG,2026-04-01,SSG,키움,H,Final,Loss,2.0,11.0,문학
20260401OBSS0_두산,2026-04-01,두산,삼성,A,Final,Loss,3.0,13.0,대구
20260401OBSS0_삼성,2026-04-01,삼성,두산,H,Final,Win,13.0,3.0,대구
20260401LTNC0_롯데,2026-04-01,롯데,NC,A,Final,Loss,4.0,5.0,창원
20260401LTNC0_NC,2026-04-01,NC,롯데,H,Final,Win,5.0,4.0,창원
20260401KTHH0_KT,2026-04-01,KT,한화,A,Final,Win,14.0,11.0,대전
20260401KTHH0_한화,2026-04-01,한화,KT,H,Final,Loss,11.0,14.0,대전
20260402HTLG0_KIA,2026-04-02,KIA,LG,A,Final,Loss,1.0,2.0,잠실
20260402HTLG0_LG,2026-04-02,LG,KIA,H,Final,Win,2.0,1.0,잠실
20260402WOSK0_키움,2026-04-02,키움,SSG,A,Final,Loss,1.0,11.0,문학
20260402WOSK0_SSG,2026-04-02,SSG,키움,H,Final,Win,11.0,1.0,문학
20260402OBSS0_두산,2026-04-02,두산,삼성,A,Final,Loss,2.0,5.0,대구
20260402OBSS0_삼성,2026-04-02,삼성,두산,H,Final,Win,5.0,2.0,대구
20260402LTNC0_롯데,2026-04-02,롯데,NC,A,Final,Loss,4.0,8.0,창원
20260402LTNC0_NC,2026-04-02,NC,롯데,H,Final,Win,8.0,4.0,창원
20260402KTHH0_KT,2026-04-02,KT,한화,A,Final,Win,13.0,8.0,대전
20260402KTHH0_한화,2026-04-02,한화,KT,H,Final,Loss,8.0,13.0,대전
20260403HHOB0_한화,2026-04-03,한화,두산,A,Final,Win,11.0,6.0,잠실
20260403HHOB0_두산,2026-04-03,두산,한화,H,Final,Loss,6.0,11.0,잠실
20260403SKLT0_SSG,2026-04-03,SSG,롯데,A,Final,Win,17.0,2.0,사직
20260403SKLT0_롯데,2026-04-03,롯데,SSG,H,Final,Loss,2.0,17.0,사직
20260403SSKT0_삼성,2026-04-03,삼성,KT,A,Final,Win,2.0,1.0,수원
20260403SSKT0_KT,2026-04-03,KT,삼성,H,Final,Loss,1.0,2.0,수원
20260403NCHT0_NC,2026-04-03,NC,KIA,A,Final,Win,5.0,2.0,광주
20260403NCHT0_KIA,2026-04-03,KIA,NC,H,Final,Loss,2.0,5.0,광주
20260403LGWO0_LG,2026-04-03,LG,키움,A,Final,Loss,2.0,5.0,고척
20260403LGWO0_키움,2026-04-03,키움,LG,H,Final,Win,5.0,2.0,고척
20260404HHOB0_한화,2026-04-04,한화,두산,A,Final,Win,9.0,3.0,잠실
20260404HHOB0_두산,2026-04-04,두산,한화,H,Final,Loss,3.0,9.0,잠실
20260404SKLT0_SSG,2026-04-04,SSG,롯데,A,Final,Win,7.0,6.0,사직
20260404SKLT0_롯데,2026-04-04,롯데,SSG,H,Final,Loss,6.0,7.0,사직
20260404SSKT0_삼성,2026-04-04,삼성,KT,A,Final,Win,8.0,6.0,수원
20260404SSKT0_KT,2026-04-04,KT,삼성,H,Final,Loss,6.0,8.0,수원
20260404NCHT0_NC,2026-04-04,NC,KIA,A,Final,Win,6.0,0.0,광주
20260404NCHT0_KIA,2026-04-04,KIA,NC,H,Final,Loss,0.0,6.0,광주
20260404LGWO0_LG,2026-04-04,LG,키움,A,Final,Win,6.0,4.0,고척
20260404LGWO0_키움,2026-04-04,키움,LG,H,Final,Loss,4.0,6.0,고척
20260405HHOB0_한화,2026-04-05,한화,두산,A,Final,Loss,0.0,8.0,잠실
20260405HHOB0_두산,2026-04-05,두산,한화,H,Final,Win,8.0,0.0,잠실
20260405SKLT0_SSG,2026-04-05,SSG,롯데,A,Final,Win,4.0,3.0,사직
20260405SKLT0_롯데,2026-04-05,롯데,SSG,H,Final,Loss,3.0,4.0,사직
20260405SSKT0_삼성,2026-04-05,삼성,KT,A,Final,Loss,0.0,2.0,수원
20260405SSKT0_KT,2026-04-05,KT,삼성,H,Final,Win,2.0,0.0,수원
20260405NCHT0_NC,2026-04-05,NC,KIA,A,Final,Loss,0.0,3.0,광주
