순위,선수,팀,ERA,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책,WHIP
1,이상동,KT,0.00,2,0,0,0,0,-,2,0,0,0,0,2,0,0,0.00
2,손동현,KT,2.77,27,3,0,0,2,1.000,26,18,2,13,2,20,8,8,1.19
3,보쉴리,KT,3.16,11,7,3,0,0,0.700,62 2/3,68,3,15,1,56,23,22,1.32
4,주권,KT,3.46,23,1,0,0,0,1.000,26,27,1,9,2,8,12,10,1.38
5,박영현,KT,3.51,22,3,0,12,0,1.000,25 2/3,21,2,12,0,24,10,10,1.29
6,소형준,KT,3.69,7,3,0,0,0,1.000,39,43,2,9,3,37,19,16,1.33
7,우규민,KT,3.71,20,0,0,0,1,-,17,22,3,2,1,7,8,7,1.41
8,전용주,KT,4.24,30,2,2,0,3,0.500,23 1/3,17,0,18,3,21,11,11,1.50
9,사우어,KT,4.54,12,4,3,0,0,0.571,69 1/3,67,7,27,9,53,37,35,1.36
10,한승혁,KT,4.55,30,2,1,0,9,0.667,27 2/3,28,3,15,0,36,16,14,1.55
11,고영표,KT,4.79,11,3,4,0,0,0.429,62,70,8,11,6,72,34,33,1.31
12,배제성,KT,5.02,4,0,2,0,0,0.000,14 1/3,15,1,9,1,11,8,8,1.67
13,김민수,KT,5.14,26,2,2,1,2,0.500,28,27,4,10,1,23,17,16,1.32
14,오원석,KT,5.25,11,4,4,0,0,0.500,58 1/3,70,5,13,1,53,37,34,1.42
15,김정운,KT,6.00,5,0,0,0,0,-,6,8,2,5,1,4,4,4,2.17
16,스기모토,KT,6.48,29,0,1,0,6,0.000,25,38,3,4,3,21,24,18,1.68
17,한승주,KT,7.71,3,0,0,0,1,-,2 1/3,4,1,0,0,3,3,2,1.71
18,한차현,KT,10.80,1,0,1,0,0,0.000,5,10,3,2,0,4,6,6,2.40
19,문용익,KT,11.57,3,0,1,0,0,0.000,7,12,2,5,0,6,9,9,2.43
20,임준형,KT,18.00,1,0,0,0,0,-,1,4,0,0,0,1,2,2,4.00
21,박지훈,KT,81.00,1,0,0,0,0,-,2/3,2,1,2,2,2,6,6,6.00
1,양현,삼성,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00
2,이승민,삼성,1.59,28,1,0,0,9,1.000,28 1/3,20,0,17,1,20,7,5,1.31
3,이재희,삼성,2.25,5,0,0,1,2,-,4,3,0,2,2,4,1,1,1.25
4,후라도,삼성,2.61,12,3,1,0,0,0.750,76,76,8,13,3,50,28,22,1.17
5,배찬승,삼성,3.13,30,3,2,0,7,0.600,23,24,5,18,2,19,9,8,1.83
6,원태인,삼성,3.68,9,2,4,0,0,0.333,51 1/3,54,3,12,4,43,22,21,1.29
7,장찬희,삼성,3.70,15,4,2,0,0,0.667,41 1/3,38,5,18,2,29,19,17,1.35
8,김재윤,삼성,3.75,27,3,3,13,0,0.500,24,17,2,12,1,27,10,10,1.21
9,최지광,삼성,4.09,14,1,0,1,4,1.000,11,13,0,4,2,12,7,5,1.55
10,오러클린,삼성,4.26,12,4,3,0,0,0.571,61 1/3,53,5,26,8,63,31,29,1.29
11,김태훈,삼성,4.32,9,1,1,0,1,0.500,8 1/3,5,1,3,1,4,7,4,0.96
12,임기영,삼성,4.38,15,0,1,0,1,0.000,24 2/3,26,4,6,2,13,12,12,1.30
13,양창섭,삼성,4.43,10,4,0,0,0,1.000,40 2/3,40,5,10,1,35,21,20,1.23
14,최원태,삼성,4.75,10,2,2,0,0,0.500,53,59,5,22,1,51,30,28,1.53
15,미야지,삼성,4.98,26,0,1,0,3,0.000,21 2/3,18,3,17,4,15,12,12,1.62
16,이승현,삼성,5.71,23,3,1,1,3,0.750,17 1/3,24,2,8,0,13,13,11,1.85
17,백정현,삼성,6.00,17,2,1,0,3,0.667,15,14,4,6,0,8,10,10,1.33
18,김무신,삼성,10.80,3,0,0,0,0,-,1 2/3,2,1,3,0,3,2,2,3.00
19,육선엽,삼성,11.57,2,0,0,0,0,-,2 1/3,2,1,3,1,3,3,3,2.14
20,이승현,삼성,14.81,3,0,2,0,0,0.000,10 1/3,19,2,12,1,6,17,17,3.00
21,정재훈,삼성,20.25,2,0,0,0,0,-,1 1/3,3,1,0,1,1,3,3,2.25
1,이민호,LG,0.00,1,0,0,0,0,-,1,0,0,1,0,1,0,0,1.00
1,이우찬,LG,0.00,3,0,0,0,0,-,2,3,0,1,0,2,0,0,2.00
3,유영찬,LG,0.75,13,0,1,11,0,0.000,12,4,0,6,0,12,1,1,0.83
4,손주영,LG,1.35,12,1,0,10,0,1.000,13 1/3,11,0,7,2,11,2,2,1.35
5,김유영,LG,1.80,5,0,0,0,0,-,5,3,0,4,0,8,1,1,1.40
6,웰스,LG,1.97,9,3,2,0,0,0.600,50 1/3,36,1,12,1,41,14,11,0.95
7,김영우,LG,2.66,23,1,0,0,3,1.000,20 1/3,17,2,10,0,21,6,6,1.33
8,김진성,LG,2.89,30,4,0,1,11,1.000,28,28,3,8,0,23,9,9,1.29
9,이종준,LG,3.00,2,0,0,0,0,-,3,1,0,0,1,3,1,1,0.33
10,톨허스트,LG,3.36,12,7,3,0,0,0.700,64 1/3,55,5,18,7,56,24,24,1.13
11,박시원,LG,3.86,9,0,1,0,0,0.000,9 1/3,10,0,3,1,1,5,4,1.39
12,임찬규,LG,3.88,11,5,1,0,0,0.833,60 1/3,74,5,19,1,33,27,26,1.54
13,김진수,LG,4.07,20,3,3,1,3,0.500,24 1/3,25,3,7,0,16,11,11,1.32
14,김윤식,LG,4.40,11,0,0,0,2,-,14 1/3,13,0,10,1,9,7,7,1.60
15,우강훈,LG,5.04,29,0,1,0,13,0.000,25,21,2,9,3,26,18,14,1.20
16,송승기,LG,5.11,11,3,1,0,0,0.750,49 1/3,61,7,15,0,40,31,28,1.54
16,장현식,LG,5.11,23,4,2,2,7,0.667,24 2/3,28,4,8,1,21,14,14,1.46
18,함덕주,LG,5.49,24,2,1,1,5,0.667,19 2/3,26,3,6,0,11,12,12,1.63
19,이정용,LG,6.42,15,0,2,0,1,0.000,33 2/3,51,2,14,2,18,27,24,1.93
20,치리노스,LG,6.68,8,2,3,0,0,0.400,33 2/3,47,4,14,4,28,26,25,1.81
21,김강률,LG,9.00,2,0,0,0,0,-,1,3,0,2,0,1,1,1,5.00
21,조건희,LG,9.00,2,0,0,0,0,-,2,4,1,2,0,1,2,2,3.00
23,배재준,LG,9.49,14,1,1,0,2,0.500,12 1/3,18,2,10,2,14,13,13,2.27
24,성동현,LG,11.12,5,0,0,0,0,-,5 2/3,10,2,4,1,5,8,7,2.47
25,백승현,LG,11.81,6,0,0,0,0,-,5 1/3,6,2,4,0,6,7,7,1.88
26,이상영,LG,13.50,1,0,1,0,0,0.000,3 1/3,9,0,2,0,0,5,5,3.30
1,문승원,SSG,0.96,22,2,0,0,5,1.000,28,14,0,10,3,16,7,3,0.86
2,이건욱,SSG,1.69,7,0,0,0,1,-,10 2/3,5,1,4,0,11,2,2,0.84
3,최용준,SSG,3.38,5,0,0,0,0,-,5 1/3,3,1,5,1,3,2,2,1.50
4,조병현,SSG,3.57,23,2,3,7,0,0.400,22 2/3,19,1,17,3,25,9,9,1.59
5,정동윤,SSG,3.86,3,0,0,0,0,-,4 2/3,1,0,4,1,4,2,2,1.07
6,화이트,SSG,4.11,6,1,1,0,0,0.500,30 2/3,37,1,15,2,29,15,14,1.70
7,김민,SSG,4.20,30,4,3,1,8,0.571,30,26,1,16,1,32,17,14,1.40
8,최민준,SSG,4.38,11,1,4,0,0,0.200,49 1/3,44,7,24,3,43,29,24,1.38
9,노경은,SSG,4.50,26,1,3,0,5,0.250,26,27,5,9,1,22,15,13,1.38
10,김건우,SSG,4.60,12,6,2,0,0,0.750,58 2/3,55,8,31,3,47,32,30,1.47
11,김도현,SSG,5.06,4,0,0,0,0,-,5 1/3,3,1,9,0,2,3,3,2.25
12,베니지아노,SSG,5.13,12,2,4,0,0,0.333,59 2/3,66,10,24,5,49,38,34,1.51
13,이로운,SSG,5.27,30,4,0,0,5,1.000,27 1/3,24,4,15,0,23,16,16,1.43
14,백승건,SSG,5.79,6,0,0,0,0,-,9 1/3,10,0,8,0,7,7,6,1.93
15,박시후,SSG,6.27,18,0,1,0,1,0.000,18 2/3,17,4,11,3,15,15,13,1.50
16,한두솔,SSG,7.15,23,0,1,0,0,0.000,22 2/3,33,2,5,5,18,19,18,1.68
17,타케다,SSG,7.63,11,1,6,0,0,0.143,48 1/3,66,4,28,1,40,42,41,1.94
18,장지훈,SSG,8.31,12,0,0,0,0,-,17 1/3,21,3,6,2,9,16,16,1.56
19,이기순,SSG,8.38,9,1,1,0,0,0.500,9 2/3,14,0,13,3,8,9,9,2.79
20,전영준,SSG,8.66,20,1,0,1,0,1.000,17 2/3,15,4,15,2,24,17,17,1.70
21,이준기,SSG,9.00,1,0,0,0,0,-,2,3,0,2,0,1,2,2,2.50
22,긴지로,SSG,9.56,4,0,3,0,0,0.000,16,18,5,14,1,18,17,17,2.00
23,김택형,SSG,40.50,1,0,0,0,0,-,2/3,1,1,2,0,1,3,3,4.50
1,김동주,두산,0.00,2,0,0,0,0,-,3,1,0,1,0,1,0,0,0.67
1,최원준,두산,0.00,2,0,0,0,0,-,2,1,0,1,0,1,0,0,1.00
1,최주형,두산,0.00,8,0,0,0,0,-,7,4,0,7,0,8,0,0,1.57
4,김택연,두산,0.87,9,0,0,3,0,-,10 1/3,5,1,6,0,11,1,1,1.06
5,윤태호,두산,1.74,12,1,0,1,1,1.000,10 1/3,8,0,6,0,9,2,2,1.35
6,김정우,두산,2.08,25,0,2,0,4,0.000,26,14,0,10,3,22,6,6,0.92
7,벤자민,두산,2.84,9,3,4,0,0,0.429,50 2/3,55,1,14,1,43,19,16,1.36
8,최민석,두산,3.06,11,5,2,0,0,0.714,61 2/3,52,3,30,3,59,27,21,1.33
9,박치국,두산,3.18,20,0,1,0,4,0.000,17,21,0,3,3,15,10,6,1.41
10,곽빈,두산,3.26,11,3,3,0,0,0.500,60 2/3,59,3,22,1,75,26,22,1.34
11,김명신,두산,3.38,3,1,0,0,0,1.000,2 2/3,3,0,1,1,0,1,1,1.50
12,이영하,두산,3.81,21,3,1,7,0,0.750,26,24,2,16,0,33,11,11,1.54
13,잭로그,두산,3.97,12,3,3,0,0,0.500,68,81,5,12,5,62,33,30,1.37
14,최준호,두산,4.29,14,3,1,0,0,0.750,21,19,3,10,1,23,14,10,1.38
15,최승용,두산,4.97,12,1,5,0,0,0.167,58,68,5,23,2,40,36,32,1.57
16,박정수,두산,5.14,7,0,0,0,0,-,7,7,1,5,0,3,6,4,1.71
17,이병헌,두산,5.16,31,1,1,0,6,0.500,22 2/3,31,1,11,0,21,16,13,1.85
18,플렉센,두산,5.40,2,0,2,0,0,0.000,5,2,1,6,2,3,4,3,1.60
19,양재훈,두산,5.92,26,2,3,0,2,0.400,24 1/3,27,3,14,4,31,18,16,1.68
20,이용찬,두산,6.17,13,2,0,1,0,1.000,11 2/3,11,4,3,1,11,8,8,1.20
21,타무라,두산,7.31,17,1,1,0,2,0.500,16,28,3,5,1,14,13,13,2.06
22,박신지,두산,8.44,11,0,0,0,0,-,16,18,3,8,2,10,15,15,1.63
23,최지강,두산,12.86,10,0,0,0,0,-,7,13,0,5,2,7,13,10,2.57
1,이교훈,한화,0.00,1,0,0,0,0,-,1/3,1,0,1,0,1,2,0,6.00
2,이민우,한화,2.36,23,0,2,4,4,0.000,26 2/3,25,1,8,3,11,7,7,1.24
3,이상규,한화,2.45,21,1,0,0,5,1.000,25 2/3,19,2,9,2,19,11,7,1.09
4,류현진,한화,2.97,11,7,2,0,0,0.778,63 2/3,55,4,9,2,51,27,21,1.01
5,화이트,한화,3.04,5,2,2,0,0,0.500,26 2/3,22,2,5,1,18,9,9,1.01
6,왕옌청,한화,3.13,12,5,2,0,0,0.714,63 1/3,65,4,24,4,54,30,22,1.41
7,조동욱,한화,3.86,29,1,1,0,7,0.500,23 1/3,24,0,10,2,21,10,10,1.46
8,에르난데스,한화,4.31,11,3,3,0,0,0.500,54 1/3,57,4,22,1,38,28,26,1.45
9,박준영,한화,4.58,6,2,1,0,1,0.667,17 2/3,18,6,8,3,11,9,9,1.47
10,쿠싱,한화,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26
11,권민규,한화,4.82,9,1,0,0,0,1.000,9 1/3,13,1,4,0,7,5,5,1.82
12,김종수,한화,5.00,25,0,1,0,4,0.000,18,23,3,11,2,16,11,10,1.89
13,문동주,한화,5.18,6,1,1,0,0,0.500,24 1/3,27,3,11,3,18,16,14,1.56
14,박준영,한화,5.32,19,1,0,0,0,1.000,22,20,2,20,3,21,14,13,1.82
15,윤산흠,한화,5.91,21,1,1,0,2,0.500,21 1/3,20,3,11,1,15,17,14,1.45
16,황준서,한화,6.63,9,1,2,0,0,0.333,19,21,2,13,1,20,15,14,1.79
17,강재민,한화,6.75,3,0,0,0,0,-,2 2/3,4,0,3,2,1,2,2,2.63
18,정우주,한화,7.09,27,1,2,0,5,0.333,26 2/3,28,3,23,5,34,24,21,1.91
19,박상원,한화,7.20,24,0,2,1,7,0.000,20,25,2,8,1,23,16,16,1.65
20,강건우,한화,7.94,9,0,0,0,0,-,11 1/3,20,2,11,1,10,11,10,2.74
21,박재규,한화,9.00,2,0,0,0,0,-,1,1,0,1,0,0,1,1,2.00
22,원종혁,한화,10.50,9,1,0,0,0,1.000,6,13,1,7,0,3,8,7,3.33
23,김서현,한화,12.38,12,1,2,1,0,0.333,8,9,1,15,4,5,12,11,3.00
24,김범준,한화,13.50,1,0,0,0,0,-,2/3,2,0,0,0,0,1,1,3.00
25,주현상,한화,15.43,3,0,0,0,0,-,2 1/3,7,1,2,0,1,9,4,3.86
26,김도빈,한화,24.75,6,0,1,0,1,0.000,4,3,0,10,2,6,11,11,3.25
27,엄상백,한화,27.00,1,0,0,0,0,-,1/3,2,0,0,1,0,1,1,6.00
1,김현수,KIA,0.00,1,0,0,0,0,-,2,2,0,1,0,2,0,0,1.50
1,시라카와,KIA,0.00,1,1,0,0,0,1.000,5,4,0,2,0,4,0,0,1.20
1,홍건희,KIA,0.00,3,0,0,0,1,-,3,4,0,0,0,2,1,0,1.33
4,성영탁,KIA,1.37,22,2,1,8,3,0.667,26 1/3,22,1,7,0,22,4,4,1.10
5,이태양,KIA,1.42,10,1,0,0,3,1.000,12 2/3,8,0,3,1,6,2,2,0.87
6,이형범,KIA,1.50,9,0,0,0,0,-,12,11,2,3,1,7,7,2,1.17
7,조상우,KIA,1.69,30,4,1,0,8,0.800,26 2/3,23,0,10,1,16,9,5,1.24
8,곽도규,KIA,1.80,8,0,0,0,1,-,5,8,0,3,0,3,1,1,2.20
9,올러,KIA,2.39,12,7,4,0,0,0.636,75 1/3,48,5,22,3,82,21,20,0.93
10,한재승,KIA,3.27,25,1,0,0,1,1.000,22,15,3,9,3,16,8,8,1.09
11,네일,KIA,3.58,13,2,4,0,0,0.333,75 1/3,69,3,15,10,56,30,30,1.12
12,최지민,KIA,3.74,25,0,0,0,2,-,21 2/3,24,4,6,2,15,9,9,1.38
13,정해영,KIA,4.19,19,2,0,2,3,1.000,19 1/3,16,1,6,1,17,13,9,1.14
14,양현종,KIA,4.39,11,3,4,0,0,0.429,53 1/3,52,9,25,1,38,30,26,1.44
15,황동하,KIA,4.41,14,5,1,0,1,0.833,49,52,10,17,1,37,27,24,1.41
16,장재혁,KIA,4.50,3,0,0,0,0,-,4,3,0,5,0,2,2,2,2.00
17,김태형,KIA,4.65,9,1,1,0,0,0.500,31,35,4,18,3,18,21,16,1.71
18,김범수,KIA,4.91,31,1,2,1,10,0.333,22,23,1,21,1,23,13,12,2.00
19,김기훈,KIA,5.40,2,0,0,0,0,-,1 2/3,0,0,4,0,1,1,1,2.40
20,김건국,KIA,7.94,6,0,0,0,0,-,5 2/3,6,1,5,0,6,6,5,1.94
21,홍민규,KIA,8.35,15,1,2,0,0,0.333,18 1/3,27,2,7,0,16,17,17,1.85
22,이의리,KIA,9.42,10,1,6,0,0,0.143,35 1/3,41,8,33,1,39,37,37,2.09
23,김시훈,KIA,13.50,2,0,0,0,0,-,2,2,0,2,1,2,3,3,2.00
23,전상현,KIA,13.50,4,0,1,0,2,0.000,3 1/3,6,0,1,1,3,5,5,2.10
1,김준원,NC,0.00,4,0,0,0,0,-,5 2/3,4,0,2,2,7,2,0,1.06
1,이용준,NC,0.00,2,0,0,0,0,-,3,2,0,0,0,1,0,0,0.67
1,최요한,NC,0.00,1,0,0,0,0,-,1,0,0,1,0,2,0,0,1.00
1,최우석,NC,0.00,1,0,0,0,0,-,1 1/3,1,0,1,0,0,0,0,1.50
5,박지한,NC,3.00,2,0,0,0,0,-,3,1,0,3,1,4,1,1,1.33
6,원종해,NC,3.24,11,0,0,0,1,-,8 1/3,5,0,3,3,5,3,3,0.96
7,이준혁,NC,3.45,16,0,0,0,1,-,15 2/3,15,0,13,4,13,10,6,1.79
8,라일리,NC,3.48,6,2,0,0,0,1.000,33 2/3,31,7,6,0,46,14,13,1.10
9,전사민,NC,3.55,27,2,2,4,1,0.500,25 1/3,20,0,8,5,18,12,10,1.11
10,신영우,NC,3.75,8,1,1,0,0,0.500,12,4,1,13,1,15,6,5,1.42
11,김영규,NC,3.92,28,1,2,0,2,0.333,20 2/3,23,2,17,1,19,9,9,1.94
12,구창모,NC,4.04,11,5,2,0,0,0.714,62 1/3,58,8,21,2,50,31,28,1.27
13,임지민,NC,4.25,32,1,3,1,8,0.250,29 2/3,19,5,15,1,33,16,14,1.15
14,김태경,NC,4.64,9,0,0,0,0,-,21 1/3,19,4,9,1,18,11,11,1.31
15,버하겐,NC,4.68,6,1,1,0,0,0.500,25,23,2,11,1,24,13,13,1.36
16,토다,NC,4.69,11,2,5,0,0,0.286,55 2/3,61,8,21,1,39,31,29,1.47
17,신민혁,NC,4.79,8,0,3,0,0,0.000,35 2/3,32,6,13,3,17,21,19,1.26
18,배재환,NC,5.13,34,3,1,0,10,0.750,26 1/3,31,4,10,1,25,18,15,1.56
19,김진호,NC,5.16,26,2,2,1,6,0.500,22 2/3,17,2,21,0,18,14,13,1.68
20,테일러,NC,5.60,11,4,4,0,0,0.500,54 2/3,56,3,27,5,39,36,34,1.52
21,임정호,NC,6.75,15,0,0,0,1,-,9 1/3,10,1,4,0,9,7,7,1.50
22,류진욱,NC,7.32,23,2,4,3,1,0.333,19 2/3,23,4,8,4,23,16,16,1.58
23,목지훈,NC,8.64,5,0,1,0,0,0.000,8 1/3,12,3,8,1,6,9,8,2.40
24,하준영,NC,9.82,4,0,0,0,0,-,3 2/3,4,1,3,0,5,4,4,1.91
25,손주환,NC,12.91,9,0,0,0,0,-,7 2/3,14,2,8,0,10,15,11,2.87
1,이영재,롯데,0.00,1,0,0,0,0,-,2/3,0,0,0,0,1,0,0,0.00
2,정현수,롯데,2.25,8,0,0,0,0,-,4,4,0,2,0,3,1,1,1.50
3,현도훈,롯데,2.55,22,2,2,0,3,0.500,24 2/3,18,1,11,1,19,10,7,1.18
4,최준용,롯데,2.81,24,3,3,8,1,0.500,25 2/3,16,1,16,2,27,11,8,1.25
5,이진하,롯데,3.00,2,0,0,0,0,-,3,1,0,1,1,3,1,1,0.67
6,김진욱,롯데,3.48,11,3,3,0,0,0.500,64 2/3,59,8,18,1,51,32,25,1.19
7,나균안,롯데,3.53,11,2,5,0,0,0.286,63 2/3,64,8,20,2,53,29,25,1.32
8,홍민기,롯데,3.60,8,0,1,0,2,0.000,5,6,0,3,2,8,2,2,1.80
9,김원중,롯데,3.80,24,0,2,2,6,0.000,21 1/3,22,1,10,1,12,11,9,1.50
10,김강현,롯데,3.86,4,0,0,0,0,-,4 2/3,3,0,3,0,5,2,2,1.29
10,이승헌,롯데,3.86,5,0,0,0,0,-,4 2/3,6,0,3,0,2,3,2,1.93
12,박준우,롯데,4.20,12,0,0,0,0,-,15,17,1,6,2,9,10,7,1.53
13,비슬리,롯데,4.86,12,4,3,0,0,0.571,63,76,5,19,5,74,36,34,1.51
14,박세웅,롯데,4.98,11,1,5,0,0,0.167,59 2/3,64,4,29,4,50,38,33,1.56
15,박정민,롯데,5.54,28,3,2,1,7,0.600,26,20,4,21,1,33,16,16,1.58
16,로드리게스,롯데,5.56,11,3,5,0,0,0.375,56 2/3,63,10,22,3,58,37,35,1.50
17,구승민,롯데,6.00,6,0,0,0,0,-,6,7,0,3,1,4,4,4,1.67
18,정철원,롯데,6.05,24,1,2,0,3,0.333,19 1/3,21,3,8,0,15,13,13,1.50
19,이민석,롯데,6.27,7,0,0,0,0,-,18 2/3,20,1,11,2,14,14,13,1.66
20,쿄야마,롯데,7.59,10,0,1,0,1,0.000,10 2/3,14,1,9,0,13,10,9,2.16
21,최이준,롯데,8.31,15,0,1,0,0,0.000,13,12,2,11,0,9,13,12,1.77
22,윤성빈,롯데,13.50,4,0,0,0,0,-,3 1/3,4,0,6,0,2,5,5,3.00
23,신동건,롯데,18.00,1,0,0,0,0,-,1,1,0,4,0,1,2,2,5.00
23,최충연,롯데,18.00,1,0,0,0,0,-,1,3,0,1,0,0,2,2,4.00
25,박세진,롯데,33.75,5,0,0,0,0,-,1 1/3,7,1,2,0,1,5,5,6.75
1,원종현,키움,2.35,23,0,2,1,5,0.000,23,23,0,5,0,19,8,6,1.22
2,알칸타라,키움,3.12,12,6,4,0,0,0.600,78,79,11,11,0,70,28,27,1.15
3,로젠버그,키움,3.18,4,0,1,0,0,0.000,17,18,1,6,1,19,6,6,1.41
4,박준현,키움,3.68,6,1,2,0,0,0.333,29 1/3,27,0,18,0,28,13,12,1.53
5,안우진,키움,4.00,8,1,3,0,0,0.250,27,27,1,8,0,34,13,12,1.30
6,와일스,키움,4.13,4,0,3,0,0,0.000,24,32,2,2,1,17,12,11,1.42
7,유토,키움,4.38,29,3,3,9,7,0.500,24 2/3,27,2,9,0,22,12,12,1.46
8,하영민,키움,4.53,11,2,3,0,0,0.400,43 2/3,44,6,21,2,36,26,22,1.49
