date,team,starter_name,starter_source,starter_confirmed_at,starter_info_quality,starter_era,starter_whip,bullpen_fatigue,recent_3day_games,note
2026-08-04,KIA,올러,confirmed,2026-08-04 11:00,1.0,3.36,1.14,낮음,0,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,KT,오원석,confirmed,2026-08-04 11:00,1.0,5.59,1.49,보통,2,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,LG,웰스,confirmed,2026-08-04 11:00,1.0,4.04,1.25,낮음,1,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,NC,라일리,confirmed,2026-08-04 11:00,1.0,3.09,1.11,낮음,0,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,SSG,김민준,confirmed,2026-08-04 11:00,1.0,4.30,1.33,보통,2,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,두산,최승용,confirmed,2026-08-04 11:00,1.0,5.53,1.52,낮음,1,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,롯데,로드리게스,confirmed,2026-08-04 11:00,1.0,4.33,1.37,낮음,1,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,삼성,양창섭,confirmed,2026-08-04 11:00,1.0,4.14,1.39,낮음,1,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,키움,하영민,confirmed,2026-08-04 11:00,1.0,4.55,1.43,보통,2,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
2026-08-04,한화,왕옌청,confirmed,2026-08-04 11:00,1.0,3.54,1.45,보통,2,"확정 선발은 GameCenter 기준, 미확인 시 누적 기록과 로테이션 순서로 추정"
