snapshot_date,snapshot_time,reference_date,team,starter_name,starter_source,starter_info_quality,starter_era,starter_whip,bullpen_fatigue_label,recent_3day_games,scheduled_game_id,opponent,home_away,data_source,note
2026-06-02,2026-06-02 16:30:02,2026-06-02,두산,벤자민,confirmed,1.0,2.61,1.35,보통,2,20260602HHOB0_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 16:30:02,2026-06-02,한화,박준영,confirmed,1.0,3.55,1.34,보통,2,20260602HHOB0_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,KT,한차현,confirmed,1.0,,,보통,2,20260602LGKT0_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,롯데,나균안,confirmed,1.0,3.45,1.34,보통,2,20260602LTHT0_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,SSG,베니지아노,confirmed,1.0,5.63,1.68,보통,2,20260602WOSK0_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,키움,알칸타라,confirmed,1.0,3.18,1.17,보통,2,20260602WOSK0_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,KIA,네일,confirmed,1.0,3.84,1.11,보통,2,20260602LTHT0_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,NC,토다,confirmed,1.0,4.34,1.47,보통,2,20260602NCSS0_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,LG,임찬규,confirmed,1.0,4.31,1.58,보통,2,20260602LGKT0_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 17:30:02,2026-06-02,삼성,후라도,confirmed,1.0,2.17,1.1,보통,2,20260602NCSS0_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,NC,토다,confirmed,1.0,4.34,1.47,보통,2,2026-06-02_NC_삼성_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,SSG,베니지아노,confirmed,1.0,5.63,1.68,보통,2,2026-06-02_키움_SSG_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,삼성,후라도,confirmed,1.0,2.17,1.1,보통,2,2026-06-02_NC_삼성_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,LG,임찬규,confirmed,1.0,4.31,1.58,보통,2,2026-06-02_LG_KT_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,키움,알칸타라,confirmed,1.0,3.18,1.17,보통,2,2026-06-02_키움_SSG_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,한화,박준영,confirmed,1.0,3.55,1.34,보통,2,2026-06-02_한화_두산_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,두산,벤자민,confirmed,1.0,2.61,1.35,보통,2,2026-06-02_한화_두산_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,롯데,나균안,confirmed,1.0,3.45,1.34,보통,2,2026-06-02_롯데_KIA_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,KT,한차현,confirmed,1.0,,,보통,2,2026-06-02_LG_KT_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-02,2026-06-02 18:30:02,2026-06-02,KIA,네일,confirmed,1.0,3.84,1.11,보통,2,2026-06-02_롯데_KIA_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 15:00:02,2026-06-03,한화,왕옌청,confirmed,1.0,3.24,1.41,높음,2,20260603HHOB0_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 15:00:02,2026-06-03,두산,박신지,confirmed,1.0,10.5,1.83,높음,2,20260603HHOB0_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,SSG,백승건,confirmed,1.0,4.32,1.56,높음,2,20260603WOSK0_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,LG,이정용,confirmed,1.0,5.65,1.85,높음,2,20260603LGKT0_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,롯데,김진욱,confirmed,1.0,3.38,1.19,높음,2,20260603LTHT0_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,KIA,황동하,confirmed,1.0,3.91,1.3,높음,2,20260603LTHT0_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,삼성,최원태,confirmed,1.0,4.72,1.53,높음,2,20260603NCSS0_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,키움,로젠버그,confirmed,1.0,3.18,1.59,높음,2,20260603WOSK0_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,KT,고영표,confirmed,1.0,5.07,1.35,높음,2,20260603LGKT0_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 16:00:02,2026-06-03,NC,김태경,confirmed,1.0,3.44,1.15,높음,2,20260603NCSS0_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,삼성,최원태,confirmed,1.0,4.72,1.53,높음,2,2026-06-03_NC_삼성_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,롯데,김진욱,confirmed,1.0,3.38,1.19,높음,2,2026-06-03_롯데_KIA_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,키움,로젠버그,confirmed,1.0,3.18,1.59,높음,2,2026-06-03_키움_SSG_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,LG,이정용,confirmed,1.0,5.65,1.85,높음,2,2026-06-03_LG_KT_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,KIA,황동하,confirmed,1.0,3.91,1.3,높음,2,2026-06-03_롯데_KIA_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,SSG,백승건,confirmed,1.0,4.32,1.56,높음,2,2026-06-03_키움_SSG_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,NC,김태경,confirmed,1.0,3.44,1.15,높음,2,2026-06-03_NC_삼성_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,두산,박신지,confirmed,1.0,10.5,1.83,높음,2,2026-06-03_한화_두산_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,한화,왕옌청,confirmed,1.0,3.24,1.41,높음,2,2026-06-03_한화_두산_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-03,2026-06-03 18:30:02,2026-06-03,KT,고영표,confirmed,1.0,5.07,1.35,높음,2,2026-06-03_LG_KT_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 16:30:02,2026-06-04,두산,잭로그,confirmed,1.0,4.22,1.41,낮음,1,20260604HHOB0_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 16:30:02,2026-06-04,한화,화이트,confirmed,1.0,3.05,1.02,낮음,1,20260604HHOB0_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,NC,구창모,confirmed,1.0,3.99,1.24,높음,2,20260604NCSS0_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,KIA,시라카와,confirmed,1.0,,,높음,2,20260604LTHT0_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,KT,사우어,confirmed,1.0,4.43,1.37,높음,2,20260604LGKT0_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,LG,웰스,confirmed,1.0,1.79,0.9,높음,2,20260604LGKT0_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,키움,배동현,confirmed,1.0,4.15,1.55,높음,2,20260604WOSK0_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,롯데,박세웅,confirmed,1.0,4.2,1.49,높음,2,20260604LTHT0_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,SSG,최민준,confirmed,1.0,3.52,1.3,높음,2,20260604WOSK0_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 17:30:02,2026-06-04,삼성,원태인,confirmed,1.0,3.57,1.21,높음,2,20260604NCSS0_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,NC,구창모,confirmed,1.0,3.99,1.24,높음,2,2026-06-04_NC_삼성_NC,삼성,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,KIA,시라카와,confirmed,1.0,,,높음,2,2026-06-04_롯데_KIA_KIA,롯데,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,롯데,박세웅,confirmed,1.0,4.2,1.49,높음,2,2026-06-04_롯데_KIA_롯데,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,삼성,원태인,confirmed,1.0,3.57,1.21,높음,2,2026-06-04_NC_삼성_삼성,NC,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,SSG,최민준,confirmed,1.0,3.52,1.3,높음,2,2026-06-04_키움_SSG_SSG,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,LG,웰스,confirmed,1.0,1.79,0.9,높음,2,2026-06-04_LG_KT_LG,KT,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,KT,사우어,confirmed,1.0,4.43,1.37,높음,2,2026-06-04_LG_KT_KT,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,두산,잭로그,confirmed,1.0,4.22,1.41,낮음,1,2026-06-04_한화_두산_두산,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,키움,배동현,confirmed,1.0,4.15,1.55,높음,2,2026-06-04_키움_SSG_키움,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-04,2026-06-04 18:30:02,2026-06-04,한화,화이트,confirmed,1.0,3.05,1.02,낮음,1,2026-06-04_한화_두산_한화,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:00:02,2026-06-05,KIA,올러,confirmed,1.0,2.63,0.97,높음,3,20260605SSHT0_KIA,삼성,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:00:02,2026-06-05,삼성,오러클린,confirmed,1.0,3.99,1.26,높음,3,20260605SSHT0_삼성,KIA,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,롯데,로드리게스,confirmed,1.0,5.12,1.49,높음,3,20260605HHLT0_롯데,한화,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,SSG,김건우,confirmed,1.0,4.7,1.43,높음,3,20260605KTSK0_SSG,KT,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,KT,문용익,confirmed,1.0,16.88,3.75,높음,3,20260605KTSK0_KT,SSG,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,한화,류현진,confirmed,1.0,3.28,1.06,높음,2,20260605HHLT0_한화,롯데,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,키움,하영민,confirmed,1.0,4.89,1.53,높음,3,20260605WOOB0_키움,두산,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,LG,김윤식,confirmed,1.0,2.63,1.24,높음,3,20260605LGNC0_LG,NC,A,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,두산,최승용,confirmed,1.0,5.61,1.68,높음,2,20260605WOOB0_두산,키움,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 17:30:03,2026-06-05,NC,라일리,confirmed,1.0,3.33,1.11,높음,3,20260605LGNC0_NC,LG,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 18:30:02,2026-06-05,SSG,김건우,confirmed,1.0,4.7,1.43,높음,3,2026-06-05_KT_SSG_SSG,KT,H,KBO GameCenter,경기 전 수집 스냅샷
2026-06-05,2026-06-05 18:30:02,2026-06-05,한화,류현진,confirmed,1.0,3.28,1.06,높음,2,2026-06-05_한화_롯데_한화,롯데,A,KBO GameCenter,경기 전 수집 스냅샷
