reference_date,away_team,home_team,scheduled_start_datetime,official_game_id
2026-06-02,한화,두산,2026-06-02 18:30:00,20260602HHOB0
2026-06-02,LG,KT,2026-06-02 18:30:00,20260602LGKT0
2026-06-02,롯데,KIA,2026-06-02 18:30:00,20260602LTHT0
2026-06-02,NC,삼성,2026-06-02 18:30:00,20260602NCSS0
2026-06-02,키움,SSG,2026-06-02 18:30:00,20260602WOSK0
2026-06-03,한화,두산,2026-06-03 17:00:00,20260603HHOB0
2026-06-03,LG,KT,2026-06-03 17:00:00,20260603LGKT0
2026-06-03,롯데,KIA,2026-06-03 17:00:00,20260603LTHT0
2026-06-03,NC,삼성,2026-06-03 17:00:00,20260603NCSS0
2026-06-03,키움,SSG,2026-06-03 17:00:00,20260603WOSK0
2026-06-04,한화,두산,2026-06-04 18:30:00,20260604HHOB0
2026-06-04,LG,KT,2026-06-04 18:30:00,20260604LGKT0
2026-06-04,롯데,KIA,2026-06-04 18:30:00,20260604LTHT0
2026-06-04,NC,삼성,2026-06-04 18:30:00,20260604NCSS0
2026-06-04,키움,SSG,2026-06-04 18:30:00,20260604WOSK0
2026-06-05,한화,롯데,2026-06-05 18:30:00,20260605HHLT0
2026-06-05,KT,SSG,2026-06-05 18:30:00,20260605KTSK0
2026-06-05,LG,NC,2026-06-05 18:30:00,20260605LGNC0
2026-06-05,삼성,KIA,2026-06-05 18:30:00,20260605SSHT0
2026-06-05,키움,두산,2026-06-05 18:30:00,20260605WOOB0
2026-06-06,한화,롯데,2026-06-06 17:00:00,20260606HHLT0
2026-06-06,KT,SSG,2026-06-06 14:00:00,20260606KTSK0
2026-06-06,LG,NC,2026-06-06 17:00:00,20260606LGNC0
2026-06-06,삼성,KIA,2026-06-06 17:00:00,20260606SSHT0
2026-06-06,키움,두산,2026-06-06 17:00:00,20260606WOOB0
2026-06-07,한화,롯데,2026-06-07 17:00:00,20260607HHLT0
2026-06-07,KT,SSG,2026-06-07 17:00:00,20260607KTSK0
2026-06-07,LG,NC,2026-06-07 17:00:00,20260607LGNC0
2026-06-07,삼성,KIA,2026-06-07 17:00:00,20260607SSHT0
2026-06-07,키움,두산,2026-06-07 17:00:00,20260607WOOB0
2026-06-09,KIA,한화,2026-06-09 18:30:00,20260609HTHH0
2026-06-09,NC,키움,2026-06-09 18:30:00,20260609NCWO0
2026-06-09,두산,롯데,2026-06-09 18:30:00,20260609OBLT0
2026-06-09,SSG,LG,2026-06-09 18:30:00,20260609SKLG0
2026-06-09,삼성,KT,2026-06-09 18:30:00,20260609SSKT0
2026-06-10,KIA,한화,2026-06-10 18:30:00,20260610HTHH0
2026-06-10,NC,키움,2026-06-10 18:30:00,20260610NCWO0
2026-06-10,두산,롯데,2026-06-10 18:30:00,20260610OBLT0
2026-06-10,SSG,LG,2026-06-10 18:30:00,20260610SKLG0
2026-06-10,삼성,KT,2026-06-10 18:30:00,20260610SSKT0
2026-06-11,KIA,한화,2026-06-11 18:30:00,20260611HTHH0
