팀,감독,코치,투수,포수,내야수,외야수
LG,,,,,,
KT,이강철(71),"김강(72), 박경수(73), 장재중(75), 박기혁(76), 김태한(77), 김호(78), 유한준(81), 제춘모(82), 최만호(84), 전병두(87)","고영표(1), 우규민(12), 문용익(18), 배제성(19), 김민수(26), 전용주(29), 사우어(32), 한승혁(35), 이상동(37), 주권(38), 손동현(41), 한승주(59), 박영현(60), 김정운(61)","한승택(45), 강현우(55)","허경민(13), 힐리어드(34), 오윤석(4), 권동진(52), 장준원(56), 김상수(7), 류현인(9)","김현수(10), 배정대(27), 최원준(3), 이정훈(33), 김민혁(53), 이재원(65)"
삼성,,,,,,
KIA,,,,,,
한화,,,,,,
두산,,,,,,
SSG,이숭용(71),"조동화(70), 조동찬(72), 오준혁(73), 경헌호(74), 세리자와(82), 임훈(83), 윤재국(86), 송신영(88), 이승호(91), 김성현(6)","김민(1), 이건욱(16), 조병현(19), 타케다(23), 전영준(28), 최민준(30), 한두솔(34), 노경은(38), 김건우(39), 베니지아노(41), 박시후(57), 최용준(67), 이준기(90), 이로운(92)","조형우(20), 김민식(24)","최정(14), 박성한(2), 정준재(3), 전의산(47), 김민준(5), 홍대인(97)","채현우(15), 에레디아(27), 김성욱(31), 김재환(32), 오태곤(37), 최지훈(54), 최준우(7)"
NC,,,,,,
롯데,,,,,,
키움,,,,,,
