순위,팀,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,LG,84,52,32,0,0.619,0,5승0무5패,1승,30-0-13,22-0-19
2,삼성,84,50,32,2,0.610,1,8승0무2패,1패,25-1-15,25-1-17
3,KT,83,47,35,1,0.573,4,4승0무6패,3승,26-0-19,21-1-16
4,KIA,85,44,39,2,0.530,7.5,3승1무6패,4패,24-2-16,20-0-23
5,두산,86,43,41,2,0.512,9,6승0무4패,1승,24-1-17,19-1-24
6,한화,81,39,40,2,0.494,10.5,5승0무5패,2패,17-1-22,22-1-18
7,NC,81,39,41,1,0.488,11,7승0무3패,3승,21-0-20,18-1-21
8,롯데,84,38,44,2,0.463,13,6승0무4패,2승,15-0-24,23-2-20
9,SSG,85,31,51,3,0.378,20,1승1무8패,1패,14-2-23,17-1-28
10,키움,87,29,57,1,0.337,24,3승0무7패,4패,19-1-28,10-0-29
