팀,상대,전적
KT,삼성,3-8-0
KT,KIA,6-3-0
KT,LG,10-5-0
KT,두산,8-4-1
KT,NC,10-4-0
KT,롯데,5-5-0
KT,한화,8-3-0
KT,SSG,6-7-1
KT,키움,10-3-1
삼성,KT,8-3-0
삼성,KIA,5-9-0
삼성,LG,6-5-0
삼성,두산,6-5-1
삼성,NC,11-4-0
삼성,롯데,5-5-0
삼성,한화,8-3-1
삼성,SSG,8-6-0
삼성,키움,10-4-1
KIA,KT,3-6-0
KIA,삼성,9-5-0
KIA,LG,4-7-0
KIA,두산,7-8-0
KIA,NC,2-7-0
KIA,롯데,9-4-1
KIA,한화,9-6-0
KIA,SSG,8-3-1
KIA,키움,11-4-0
LG,KT,5-10-0
LG,삼성,5-6-0
LG,KIA,7-4-0
LG,두산,7-4-1
LG,NC,7-6-0
LG,롯데,7-5-0
LG,한화,6-7-0
LG,SSG,9-4-0
LG,키움,10-5-0
두산,KT,4-8-1
두산,삼성,5-6-1
두산,KIA,8-7-0
두산,LG,4-7-1
두산,NC,8-3-0
두산,롯데,9-5-0
두산,한화,7-7-1
두산,SSG,7-5-0
두산,키움,7-4-0
NC,KT,4-10-0
NC,삼성,4-11-0
NC,KIA,7-2-0
NC,LG,6-7-0
NC,두산,3-8-0
NC,롯데,9-5-0
NC,한화,7-3-0
NC,SSG,3-6-2
NC,키움,6-6-0
롯데,KT,5-5-0
롯데,삼성,5-5-0
롯데,KIA,4-9-1
롯데,LG,5-7-0
롯데,두산,5-9-0
롯데,NC,5-9-0
롯데,한화,3-7-0
롯데,SSG,7-7-1
롯데,키움,11-2-0
한화,KT,3-8-0
한화,삼성,3-8-1
한화,KIA,6-9-0
한화,LG,7-6-0
한화,두산,7-7-1
한화,NC,3-7-0
한화,롯데,7-3-0
한화,SSG,9-5-0
한화,키움,4-7-1
SSG,KT,7-6-1
SSG,삼성,6-8-0
SSG,KIA,3-8-1
SSG,LG,4-9-0
SSG,두산,5-7-0
SSG,NC,6-3-2
SSG,롯데,7-7-1
SSG,한화,5-9-0
SSG,키움,5-7-0
키움,KT,3-10-1
키움,삼성,4-10-1
키움,KIA,4-11-0
키움,LG,5-10-0
키움,두산,4-7-0
키움,NC,6-6-0
키움,롯데,2-11-0
키움,한화,7-4-1
키움,SSG,7-5-0
