game_id,date,team,opponent,home_away,status,result,score_team,score_opp,note
20260324_KT_Samsung_001,2026-03-24,KT,Samsung,A,Final,Loss,1.0,4.0,
20260325_KT_Samsung_002,2026-03-25,KT,Samsung,H,Final,Loss,10.0,12.0,
20260326_KT_Samsung_002,2026-03-26,KT,Samsung,H,Final,Win,4.0,2.0,
20260327_KT_KIA_003,2026-03-27,KT,KIA,H,Final,Loss,7.0,9.0,
20260328_KT_Hanwha_004,2026-03-28,KT,Hanwha,H,Final,Loss,0.0,3.0,
20260329_KT_Hanwha_004,2026-03-29,KT,Hanwha,H,Final,Loss,4.0,9.0,
20260331_KT_Hanwha_004,2026-03-31,KT,Hanwha,H,Final,Loss,4.0,12.0,
20260401_KT_SSG_005,2026-04-01,KT,SSG,A,Final,Loss,2.0,7.0,
20260402_KT_SSG_005,2026-04-02,KT,SSG,A,Final,Win,12.0,0.0,
20260403_KT_SSG_006,2026-04-03,KT,SSG,H,Final,Loss,1.0,3.0,
20260404_KT_Doosan_007,2026-04-04,KT,Doosan,A,Final,Win,4.0,3.0,
20260405_KT_Doosan_007,2026-04-05,KT,Doosan,A,Final,Loss,1.0,6.0,
20260407_KT_Doosan_007,2026-04-07,KT,Doosan,A,Final,Win,4.0,1.0,
20260408_KT_Lotte_008,2026-04-08,KT,Lotte,A,Final,Win,11.0,2.0,
20260409_KT_Lotte_008,2026-04-09,KT,Lotte,A,Final,Win,10.0,3.0,
20260410_KT_Lotte_008,2026-04-10,KT,Lotte,A,Final,Loss,2.0,12.0,
20260411_KT_Doosan_009,2026-04-11,KT,Doosan,H,Final,Win,12.0,3.0,
20260412_KT_Doosan_010,2026-04-12,KT,Doosan,A,Final,Win,8.0,1.0,
20260414_KT_Doosan_011,2026-04-14,KT,Doosan,H,Final,Win,6.0,1.0,
20260415_KT_SSG_012,2026-04-15,KT,SSG,H,Final,Loss,6.0,7.0,
20260416_KT_SSG_013,2026-04-16,KT,SSG,A,Final,Loss,0.0,2.0,
20260417_KT_SSG_013,2026-04-17,KT,SSG,A,Final,Loss,7.0,9.0,
20260418_KT_KIA_014,2026-04-18,KT,KIA,A,Final,Loss,1.0,3.0,
20260419_KT_KIA_015,2026-04-19,KT,KIA,H,Final,Loss,7.0,10.0,
20260421_KT_KIA_015,2026-04-21,KT,KIA,H,Final,Loss,3.0,8.0,
20260422_KT_LG_016,2026-04-22,KT,LG,A,Final,Win,4.0,2.0,
20260423_KT_LG_016,2026-04-23,KT,LG,A,Final,Loss,10.0,11.0,
20260424_KT_LG_016,2026-04-24,KT,LG,A,Final,Loss,0.0,10.0,
20260425_KT_Kiwoom_017,2026-04-25,KT,Kiwoom,A,Final,Loss,6.0,12.0,
20260426_KT_LG_018,2026-04-26,KT,LG,H,Final,Loss,5.0,8.0,
20260428_KT_LG_019,2026-04-28,KT,LG,A,Final,Win,8.0,0.0,
20260429_KT_LG_019,2026-04-29,KT,LG,A,Final,Loss,1.0,4.0,
20260430_KT_Lotte_020,2026-04-30,KT,Lotte,H,Final,Loss,3.0,11.0,
20260501_KT_Lotte_020,2026-05-01,KT,Lotte,H,Final,Loss,0.0,2.0,
20260502_KT_Lotte_021,2026-05-02,KT,Lotte,A,Final,Loss,1.0,2.0,
20260503_KT_Hanwha_022,2026-05-03,KT,Hanwha,H,Final,Win,6.0,0.0,
20260505_KT_Lotte_023,2026-05-05,KT,Lotte,H,Final,Loss,1.0,10.0,
20260506_KT_Lotte_024,2026-05-06,KT,Lotte,A,Final,Loss,4.0,10.0,
20260507_KT_Lotte_025,2026-05-07,KT,Lotte,H,Final,Win,9.0,7.0,
20260508_KT_KIA_026,2026-05-08,KT,KIA,A,Final,Loss,11.0,12.0,
20260509_KT_KIA_026,2026-05-09,KT,KIA,A,Final,Loss,4.0,5.0,
20260510_KT_KIA_026,2026-05-10,KT,KIA,A,Final,Win,7.0,2.0,
20260512_KT_NC_027,2026-05-12,KT,NC,H,Final,Loss,9.0,12.0,
20260513_KT_NC_028,2026-05-13,KT,NC,A,Final,Win,12.0,9.0,
