feature,feature_group,high_signal_definition,high_signal_games,production_accuracy_when_high,candidate_accuracy_when_high,accuracy_delta_when_high,candidate_wrong_games,common_failure_pattern,interpretation,recommended_action
venue_win_rate_gap,venue_context,abs(venue_win_rate_gap) >= p75(0.2372),258,0.519,0.543,0.024,118,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_winning_streak_flag,streak,abs(team_winning_streak_flag) >= p75(0.25),258,0.512,0.535,0.023,120,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
losing_streak_allowed_runs_spike,streak,abs(losing_streak_allowed_runs_spike) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_current_streak_length,streak,abs(team_current_streak_length) >= p75(3.0),279,0.534,0.534,0.0,130,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
opponent_losing_streak_flag,streak,abs(opponent_losing_streak_flag) >= p75(0.25),258,0.531,0.558,0.027,114,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_losing_streak_flag,streak,abs(team_losing_streak_flag) >= p75(0.25),258,0.531,0.558,0.027,114,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
winning_streak_regression_risk,streak,abs(winning_streak_regression_risk) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
winning_streak_bullpen_fatigue_proxy,streak,abs(winning_streak_bullpen_fatigue_proxy) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
streak_length_gap,streak,abs(streak_length_gap) >= p75(5.0),324,0.512,0.531,0.019,152,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
losing_streak_low_scoring_offense,streak,abs(losing_streak_low_scoring_offense) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
winning_streak_with_low_run_diff,streak,abs(winning_streak_with_low_run_diff) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
opponent_current_streak_length,streak,abs(opponent_current_streak_length) >= p75(3.0),279,0.534,0.534,0.0,130,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
winning_streak_after_close_games,streak,abs(winning_streak_after_close_games) >= p75(0.0),1032,0.537,0.56,0.023,454,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
opponent_vs_losing_streak_flag,streak,abs(opponent_vs_losing_streak_flag) >= p75(0.25),258,0.531,0.558,0.027,114,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_current_streak_type,streak,abs(team_current_streak_type) >= p75(1.0),1022,0.536,0.56,0.024,450,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
