feature_group,feature_set,games,accuracy,brier,log_loss,over_55_games,over_55_accuracy,rolling_accuracy,rolling_brier,rolling_log_loss,delta_vs_baseline_accuracy,delta_vs_baseline_brier,delta_vs_baseline_log_loss,keep_for_future,reason
baseline_core,baseline_core,542,0.541,0.246,0.685,536,0.59,0.553,0.247,0.687,0.0,0.0,0.0,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
streak,streak_only,542,0.541,0.246,0.685,554,0.592,0.557,0.247,0.686,0.0,0.0,0.0,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
volatility,volatility_only,542,0.541,0.248,0.688,516,0.562,0.544,0.247,0.687,0.0,0.002,0.003,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
close_blowout,close_blowout_only,542,0.544,0.246,0.685,536,0.593,0.554,0.246,0.686,0.003,0.0,0.0,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
momentum,momentum_only,542,0.55,0.246,0.685,498,0.586,0.559,0.247,0.687,0.009,0.0,0.0,True,2026 기준 baseline보다 안정 개선
venue_context,venue_context_only,542,0.548,0.247,0.686,500,0.568,0.555,0.246,0.686,0.007,0.001,0.001,True,2026 기준 baseline보다 안정 개선
month_phase,month_phase_only,542,0.559,0.246,0.685,568,0.592,0.561,0.246,0.686,0.018,0.0,0.0,True,2026 기준 baseline보다 안정 개선
selected_all,selected_non_pitching_all,542,0.559,0.247,0.687,534,0.573,0.562,0.247,0.687,0.018,0.001,0.002,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
selected_without_volatility,selected_non_pitching_without_volatility,542,0.57,0.246,0.685,574,0.596,0.567,0.247,0.686,0.029,0.0,0.0,True,2026 기준 baseline보다 안정 개선
selected_without_momentum,selected_non_pitching_without_momentum,542,0.57,0.247,0.687,552,0.583,0.563,0.247,0.687,0.029,0.001,0.002,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
selected_without_venue_context,selected_non_pitching_without_venue_context,542,0.555,0.247,0.687,550,0.582,0.559,0.247,0.687,0.014,0.001,0.002,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
selected_without_month_phase,selected_non_pitching_without_month_phase,542,0.53,0.248,0.69,522,0.579,0.54,0.247,0.688,-0.011,0.002,0.005,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
selected_without_close_blowout,selected_non_pitching_without_close_blowout,542,0.555,0.247,0.688,540,0.563,0.556,0.247,0.687,0.014,0.001,0.003,False,2026 기준 전체/확률 품질 또는 rolling 안정성 근거 부족
