prediction_date,train_games_before_date,test_games_on_date,model,feature_set,accuracy,brier,log_loss,over_55_games,over_55_accuracy,predicted_games,correct_games,interpretation
2026-03-28,7020,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.235,0.662,8,0.75,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-03-28,7020,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.236,0.665,8,0.75,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-03-29,7025,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.249,0.692,6,0.667,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-03-29,7025,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.253,0.698,6,0.667,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-03-31,7030,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.5,0.215,0.623,4,1.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-03-31,7030,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.5,0.235,0.663,4,1.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-01,7034,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.253,0.699,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-01,7034,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.242,0.677,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-02,7039,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.228,0.649,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-02,7039,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.219,0.631,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-03,7044,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.225,0.643,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-03,7044,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.224,0.642,4,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-04,7049,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.201,0.594,6,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-04,7049,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.195,0.582,6,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-05,7054,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.267,0.727,4,0.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-05,7054,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.265,0.723,2,0.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-07,7059,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.261,0.716,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-07,7059,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.264,0.721,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-08,7064,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.288,0.77,4,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
