date,top_pick_game,top_pick_team,top_pick_probability,top_pick_grade,actual_winner,result,all_games_max_probability,day_confidence_summary,interpretation
2026-05-20,SSG vs 키움,SSG,0.528,C등급,키움,incorrect,0.528,1 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-21,NC vs 두산,두산,0.576,C등급,두산,correct,0.576,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-22,NC vs KT,KT,0.569,C등급,KT,correct,0.569,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-23,NC vs KT,KT,0.569,C등급,KT,correct,0.569,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-24,SSG vs KIA,KIA,0.572,C등급,KIA,correct,0.572,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-26,LG vs 롯데,LG,0.531,C등급,LG,correct,0.531,3 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-27,삼성 vs SSG,삼성,0.53,C등급,삼성,correct,0.53,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-28,삼성 vs SSG,삼성,0.53,C등급,삼성,correct,0.53,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-05-29,두산 vs 삼성,삼성,0.553,C등급,두산,incorrect,0.553,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-05-30,두산 vs 삼성,삼성,0.552,C등급,두산,incorrect,0.552,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-05-31,SSG vs 한화,한화,0.548,C등급,한화,correct,0.548,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-02,롯데 vs KIA,KIA,0.548,C등급,KIA,correct,0.548,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-03,NC vs 삼성,삼성,0.557,C등급,NC,incorrect,0.557,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-04,NC vs 삼성,삼성,0.548,C등급,NC,incorrect,0.548,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-06-05,키움 vs 두산,두산,0.55,C등급,두산,correct,0.55,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-06,키움 vs 두산,두산,0.546,C등급,두산,correct,0.546,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-07,한화 vs 롯데,한화,0.542,C등급,한화,correct,0.542,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-09,NC vs 키움,NC,0.554,C등급,키움,incorrect,0.554,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-06-10,NC vs 키움,NC,0.544,C등급,NC,correct,0.544,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-11,NC vs 키움,NC,0.539,C등급,NC,correct,0.539,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-12,SSG vs 삼성,삼성,0.556,C등급,SSG,incorrect,0.556,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-13,롯데 vs LG,LG,0.573,C등급,LG,correct,0.573,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-14,SSG vs 삼성,삼성,0.562,C등급,삼성,correct,0.562,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-16,키움 vs 삼성,삼성,0.556,C등급,삼성,correct,0.556,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-17,키움 vs 삼성,삼성,0.562,C등급,삼성,correct,0.562,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-18,키움 vs 삼성,삼성,0.56,C등급,삼성,correct,0.56,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-19,SSG vs NC,NC,0.588,A등급,NC,correct,0.588,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-20,SSG vs NC,NC,0.592,A등급,SSG,incorrect,0.592,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-06-21,SSG vs NC,NC,0.563,C등급,SSG,incorrect,0.563,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-06-23,SSG vs KT,KT,0.569,C등급,KT,correct,0.569,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-24,SSG vs KT,KT,0.538,C등급,SSG,incorrect,0.538,5 completed audited games,TOP PICK이 일반 예측보다 낫지 않아 '상대 우세 1순위' 표현을 검토합니다.
2026-06-25,KIA vs 키움,KIA,0.546,C등급,KIA,correct,0.546,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-26,한화 vs SSG,한화,0.541,C등급,한화,correct,0.541,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-27,한화 vs SSG,한화,0.568,B등급,한화,correct,0.568,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-28,키움 vs NC,NC,0.56,B등급,NC,correct,0.56,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-06-30,SSG vs KIA,KIA,0.566,B등급,KIA,correct,0.566,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-07-01,LG vs 키움,LG,0.555,B등급,LG,correct,0.555,4 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-07-02,SSG vs KIA,KIA,0.582,A등급,KIA,correct,0.582,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-07-03,삼성 vs SSG,삼성,0.577,B등급,삼성,correct,0.577,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-07-04,삼성 vs SSG,삼성,0.577,B등급,삼성,correct,0.577,5 completed audited games,TOP PICK은 상대 순위 라벨입니다.
2026-07-05,삼성 vs SSG,삼성,0.58,A등급,삼성,correct,0.58,3 completed audited games,TOP PICK은 상대 순위 라벨입니다.
