feature,importance
elo_diff,0.260083
recent_run_diff_10_gap,0.069577
head_to_head_win_rate_gap,0.068652
season_win_rate_gap,0.06002
opponent_avg_run_diff_last_10,0.053005
is_home,0.052739
season_avg_run_diff_gap,0.052656
season_win_rate_prior,0.051476
avg_run_diff_last_10,0.047897
venue_win_rate_gap,0.047297
opponent_avg_run_diff_last_5,0.042606
avg_run_diff_last_5,0.041968
recent_10_win_rate_gap,0.041508
opponent_recent_10_win_rate,0.023578
recent_10_win_rate,0.022235
recent_5_win_rate_gap,0.018593
recent_5_win_rate,0.012196
games_last_7_days,0.011577
opponent_recent_5_win_rate,0.011495
rest_days,0.007626
back_to_back,0.003218
