segment,total_games,accuracy,brier,log_loss,avg_confidence,over_55_games,over_55_accuracy
전체,2942,0.544,0.248,0.689,0.546,1288,0.555
홈팀 관점 행,1471,0.544,0.248,0.689,0.546,646,0.554
원정팀 관점 행,1471,0.544,0.248,0.689,0.546,642,0.556
최근 5경기 흐름 차이 큼,1764,0.522,0.249,0.692,0.549,832,0.544
시즌 승률 차이 큼,1644,0.543,0.25,0.694,0.55,791,0.511
득실차 차이 큼,1228,0.556,0.248,0.688,0.554,655,0.548
휴식일 차이 큼,0,,,,,0,
불펜 피로 차이 큼,0,,,,,0,
박빙 경기,1098,0.541,0.248,0.69,0.516,0,
강팀 vs 약팀,1142,0.553,0.25,0.693,0.555,607,0.511
연승 흐름,600,0.498,0.251,0.695,0.548,288,0.524
연패 흐름,582,0.564,0.244,0.682,0.551,285,0.604
명시 연승 streak,746,0.529,0.25,0.693,0.546,334,0.524
명시 연패 streak,744,0.578,0.245,0.682,0.548,346,0.581
연승 회귀 위험,275,0.542,0.247,0.687,0.544,113,0.593
연패 득실 악화,494,0.589,0.245,0.682,0.551,245,0.588
