rule_name,games,picked_games,coverage_rate,correct,selected_pick_accuracy,target_accuracy,gap_to_85,wilson_ci_low,wilson_ci_high,statistically_actionable,forward_validation_required,interpretation
consensus_probability_ge_57,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
consensus_probability_ge_60,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
consensus_probability_ge_62,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
starter_edge_and_probability_ge_57,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
starter_edge_and_probability_ge_60,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
starter_edge_home_probability_ge_58,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
starter_edge_bullpen_edge_probability_ge_58,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
starter_edge_lineup_confirmed_probability_ge_58,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
all_edges_probability_ge_58,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
strong_pick_only,1,0,0.0,,,0.85,,,,false,true,No selected games in the current audit; forward validation required before any 85% selected-pick claim.
