model_name,feature_set,training_scope,kt_games,train_games,test_games,accuracy,brier,log_loss,over_52_games,over_52_accuracy,over_53_games,over_53_accuracy,over_54_games,over_54_accuracy,over_55_games,over_55_accuracy,home_accuracy,away_accuracy,close_game_accuracy,current_season_accuracy,rolling_accuracy,selected_as_kt_challenger,interpretation
production model baseline on KT games,production_features_on_kt_games,existing production holdout predictions filtered to KT games,1499,,300,0.533,0.25,0.694,245,0.514,203,0.502,159,0.541,108,0.556,0.543,0.523,0.575,0.547,,False,Production baseline comparison only; no KT model promotion.
LogisticRegression,kt_team_form_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.493,0.256,0.706,242,0.504,220,0.5,199,0.487,168,0.5,0.536,0.45,0.55,0.463,,False,KT-specific challenger candidate; not production.
RandomForestClassifier,kt_team_form_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.52,0.255,0.704,236,0.508,206,0.49,171,0.491,144,0.493,0.517,0.523,0.575,0.537,,False,KT-specific challenger candidate; not production.
ExtraTreesClassifier,kt_team_form_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.507,0.253,0.699,218,0.523,150,0.52,111,0.514,91,0.484,0.503,0.51,0.525,0.526,,False,KT-specific challenger candidate; not production.
LogisticRegression,kt_team_form_plus_opponent_context,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.51,0.254,0.702,255,0.514,229,0.524,205,0.527,180,0.533,0.543,0.477,0.525,0.463,,False,KT-specific challenger candidate; not production.
GradientBoostingClassifier,kt_team_form_plus_opponent_context,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.52,0.253,0.699,218,0.514,176,0.534,125,0.512,70,0.557,0.497,0.544,0.487,0.526,,False,KT-specific challenger candidate; not production.
HistGradientBoostingClassifier,kt_team_form_plus_opponent_context,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.527,0.256,0.706,236,0.513,199,0.497,158,0.487,136,0.478,0.51,0.544,0.475,0.495,,False,KT-specific challenger candidate; not production.
LogisticRegression,kt_home_away_context,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.513,0.253,0.699,183,0.486,160,0.5,115,0.522,96,0.531,0.589,0.436,0.613,0.484,,False,KT-specific challenger candidate; not production.
LogisticRegression,kt_recent_form_only,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.503,0.249,0.69,212,0.528,170,0.565,133,0.594,105,0.581,0.503,0.503,0.525,0.589,,False,KT-specific challenger candidate; not production.
LogisticRegression,kt_without_false_signal_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.52,0.254,0.702,255,0.51,239,0.523,215,0.507,184,0.516,0.55,0.49,0.562,0.463,,False,KT-specific challenger candidate; not production.
GradientBoostingClassifier,kt_without_false_signal_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.51,0.253,0.699,202,0.51,163,0.534,120,0.525,75,0.587,0.49,0.53,0.475,0.516,,False,KT-specific challenger candidate; not production.
HistGradientBoostingClassifier,kt_without_false_signal_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.52,0.255,0.705,234,0.521,195,0.503,165,0.485,139,0.475,0.497,0.544,0.487,0.484,,False,KT-specific challenger candidate; not production.
RandomForestClassifier,kt_without_false_signal_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.55,0.252,0.698,233,0.545,196,0.51,165,0.503,133,0.466,0.543,0.557,0.537,0.589,0.55,True,Selected for KT offline monitoring only.
ExtraTreesClassifier,kt_without_false_signal_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.52,0.252,0.697,182,0.516,138,0.522,112,0.5,80,0.5,0.543,0.497,0.525,0.537,,False,KT-specific challenger candidate; not production.
LogisticRegression,kt_all_non_pitching_safe_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.517,0.255,0.704,246,0.537,230,0.53,206,0.534,181,0.541,0.543,0.49,0.575,0.474,,False,KT-specific challenger candidate; not production.
GradientBoostingClassifier,kt_all_non_pitching_safe_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.497,0.257,0.707,258,0.473,186,0.5,136,0.485,100,0.43,0.483,0.51,0.537,0.505,,False,KT-specific challenger candidate; not production.
HistGradientBoostingClassifier,kt_all_non_pitching_safe_features,KT-only chronological holdout; offline monitoring only,1499,1199.0,300,0.48,0.259,0.712,243,0.481,222,0.464,186,0.484,158,0.481,0.477,0.483,0.512,0.463,,False,KT-specific challenger candidate; not production.
