game_date,season,home_team,away_team,opponent,is_home,evaluation_mode,segment_name,display_segment_name,included_in_best_segment,prediction_cutoff_type,predicted_winner,predicted_probability,actual_winner,correct,production_predicted_winner,production_predicted_probability,kt_challenger_predicted_winner,kt_challenger_probability,model_agrees_with_production,feature_set,data_available_before_cutoff,leakage_audit_passed,interpretation
2024-06-19,2024,KT,롯데,롯데,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,롯데,0.599,롯데,True,,,롯데,0.400695,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-20,2024,KT,롯데,롯데,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,롯데,0.575,KT,False,,,롯데,0.424928,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-21,2024,LG,KT,LG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,LG,0.622,KT,False,,,LG,0.378283,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-23,2024,LG,KT,LG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,LG,0.593,LG,True,,,LG,0.40713,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-23,2024,LG,KT,LG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,LG,0.68,KT,False,,,LG,0.319978,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-25,2024,SSG,KT,SSG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,SSG,0.57,KT,False,,,SSG,0.429775,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-26,2024,SSG,KT,SSG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.519,SSG,False,,,KT,0.518638,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-27,2024,SSG,KT,SSG,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.505,KT,True,,,KT,0.504708,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-28,2024,KT,삼성,삼성,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.593,KT,True,,,KT,0.592644,,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-06-30,2024,KT,삼성,삼성,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.537,KT,True,KT,0.521,KT,0.536538,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-02,2024,한화,KT,한화,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,한화,0.541,KT,False,KT,0.525,한화,0.459156,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-03,2024,한화,KT,한화,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,한화,0.594,KT,False,KT,0.523,한화,0.405839,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-04,2024,한화,KT,한화,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,한화,0.553,한화,True,KT,0.538,한화,0.446969,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-10,2024,KT,두산,두산,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,두산,0.557,KT,False,KT,0.505,두산,0.442811,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-11,2024,KT,두산,두산,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,두산,0.582,두산,True,두산,0.503,두산,0.418322,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-12,2024,롯데,KT,롯데,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,롯데,0.617,KT,False,롯데,0.511,롯데,0.383173,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-13,2024,롯데,KT,롯데,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,롯데,0.642,KT,False,롯데,0.512,롯데,0.35757,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-16,2024,키움,KT,키움,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.516,KT,True,KT,0.534,KT,0.515522,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-17,2024,키움,KT,키움,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,키움,0.613,KT,False,KT,0.54,키움,0.386586,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-18,2024,키움,KT,키움,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,키움,0.626,KT,False,KT,0.544,키움,0.373775,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-19,2024,KT,NC,NC,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,NC,0.592,KT,False,KT,0.552,NC,0.408053,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-21,2024,KT,NC,NC,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,NC,0.574,NC,True,KT,0.548,NC,0.425704,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-24,2024,KT,SSG,SSG,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,SSG,0.586,KT,False,KT,0.535,SSG,0.41442,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-25,2024,KT,SSG,SSG,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,SSG,0.556,KT,False,KT,0.552,SSG,0.444377,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-26,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.564,KT,False,KT,0.515,삼성,0.436019,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-27,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.597,삼성,True,KT,0.509,삼성,0.402932,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-28,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.563,KT,False,KT,0.511,삼성,0.436723,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-30,2024,KT,한화,한화,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,한화,0.506,한화,True,KT,0.574,한화,0.493539,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-07-31,2024,KT,한화,한화,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.527,한화,False,KT,0.574,KT,0.526766,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-01,2024,KT,한화,한화,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.594,한화,False,KT,0.561,KT,0.59374,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-02,2024,NC,KT,NC,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.596,KT,True,KT,0.537,KT,0.596438,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-04,2024,NC,KT,NC,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,NC,0.605,NC,True,KT,0.551,NC,0.394818,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-06,2024,KIA,KT,KIA,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KIA,0.555,KIA,True,KIA,0.524,KIA,0.44459,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-07,2024,KIA,KT,KIA,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KIA,0.532,KT,False,KIA,0.527,KIA,0.468454,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-08,2024,KIA,KT,KIA,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KIA,0.515,KT,False,KIA,0.518,KIA,0.484925,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-09,2024,KT,롯데,롯데,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.501,KT,True,KT,0.545,KT,0.501208,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-10,2024,KT,롯데,롯데,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,롯데,0.517,롯데,True,KT,0.572,롯데,0.483238,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-11,2024,KT,롯데,롯데,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.517,롯데,False,KT,0.549,KT,0.516791,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-13,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.509,삼성,True,삼성,0.517,삼성,0.490742,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-14,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.62,삼성,True,삼성,0.529,삼성,0.380426,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-15,2024,삼성,KT,삼성,False,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,삼성,0.565,KT,False,삼성,0.543,삼성,0.435156,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-16,2024,KT,두산,두산,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,두산,0.528,두산,True,KT,0.535,두산,0.47191,False,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
2024-08-17,2024,KT,두산,두산,True,holdout,current_season_2026,holdout_current_season_2026,False,before_first_pitch,KT,0.589,두산,False,KT,0.514,KT,0.589272,True,kt_all_non_pitching_safe_features,True,True,Not included in current best selected-pick segment.
