source_group,feature_name,required_for_85_target_experiment,currently_available,historical_backfill_possible,live_collection_needed,estimated_coverage,blocking_issue,priority,interpretation,implementation_status,feature_available_at_required,post_cutoff_information_forbidden
starting_pitcher_confirmed,kt_probable_starter_known,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,schema_defined,True,True
starting_pitcher_confirmed,kt_confirmed_starter_known,True,False,False,True,low,timestamped pregame source required,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,live_collection_required,True,True
starting_pitcher_rest_days,kt_starting_pitcher_rest_days,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
starting_pitcher_recent_form,kt_starting_pitcher_last_3_game_era,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
starting_pitcher_recent_form,kt_starting_pitcher_last_3_game_innings,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
starting_pitcher_recent_form,kt_starting_pitcher_last_3_game_pitch_count,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
starting_pitcher_vs_opponent_history,kt_starting_pitcher_vs_opponent_prior_era,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
starting_pitcher_confirmed,opponent_probable_starter_known,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,schema_defined,True,True
starting_pitcher_confirmed,opponent_confirmed_starter_known,True,False,False,True,low,timestamped pregame source required,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,live_collection_required,True,True
starting_pitcher_rest_days,opponent_starting_pitcher_rest_days,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
opponent_starting_pitcher_hand,opponent_starting_pitcher_hand,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
kt_vs_pitcher_type_history,kt_vs_left_handed_starter_prior_win_rate,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
kt_vs_pitcher_type_history,kt_vs_right_handed_starter_prior_win_rate,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
bullpen_usage_last_1_day,kt_bullpen_innings_last_1,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
bullpen_usage_last_3_days,kt_bullpen_innings_last_3,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
bullpen_usage_last_5_days,kt_bullpen_innings_last_5,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
bullpen_usage_last_1_day,opponent_bullpen_innings_last_1,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
bullpen_usage_last_3_days,opponent_bullpen_innings_last_3,True,False,True,False,medium,,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
