prediction_date,season,opponent,is_home,train_games_before_date,model_name,feature_set,predicted_winner,predicted_probability,kt_probability,actual_winner,correct,brier,log_loss,actual_close_game,actual_blowout_game,recommendation_grade,production_predicted_winner,production_predicted_probability,production_correct,model_agrees_with_production,interpretation
2025-06-18,2025,KIA,False,1334,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.515,0.515071,KIA,False,0.265,,False,False,D등급 / 관망,KIA,0.55,True,False,KT rolling backtest uses only KT games before this date.
2025-06-19,2025,KIA,False,1335,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.507,0.507147,KIA,False,0.257,,False,True,D등급 / 관망,KIA,0.571,True,False,KT rolling backtest uses only KT games before this date.
2025-06-21,2025,NC,True,1336,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.517,0.517473,KT,True,0.233,,False,False,D등급 / 관망,KT,0.547,True,True,KT rolling backtest uses only KT games before this date.
2025-06-22,2025,NC,True,1337,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.518,0.51823,NC,False,0.269,,False,False,D등급 / 관망,KT,0.549,False,True,KT rolling backtest uses only KT games before this date.
2025-06-24,2025,LG,True,1338,ExtraTreesClassifier,kt_without_false_signal_features,LG,0.501,0.499126,KT,False,0.251,,False,True,D등급 / 관망,KT,0.516,True,False,KT rolling backtest uses only KT games before this date.
2025-06-26,2025,LG,True,1339,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.521,0.520881,LG,False,0.271,,True,False,C등급 / 약우세,KT,0.553,False,True,KT rolling backtest uses only KT games before this date.
2025-06-27,2025,롯데,False,1340,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.506,0.505664,KT,True,0.244,,False,False,D등급 / 관망,롯데,0.566,False,False,KT rolling backtest uses only KT games before this date.
2025-06-28,2025,롯데,False,1341,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.523,0.522982,KT,True,0.228,,False,False,C등급 / 약우세,롯데,0.568,False,False,KT rolling backtest uses only KT games before this date.
2025-06-29,2025,롯데,False,1342,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.524,0.523539,롯데,False,0.274,,False,True,C등급 / 약우세,롯데,0.545,True,False,KT rolling backtest uses only KT games before this date.
2025-07-01,2025,키움,True,1343,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.502,0.502226,키움,False,0.252,,False,False,D등급 / 관망,KT,0.587,False,True,KT rolling backtest uses only KT games before this date.
2025-07-02,2025,키움,True,1344,ExtraTreesClassifier,kt_without_false_signal_features,키움,0.511,0.489415,KT,False,0.261,,False,False,D등급 / 관망,KT,0.582,True,False,KT rolling backtest uses only KT games before this date.
2025-07-03,2025,키움,True,1345,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.515,0.514641,KT,True,0.236,,False,False,D등급 / 관망,KT,0.599,True,True,KT rolling backtest uses only KT games before this date.
2025-07-04,2025,두산,False,1346,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.523,0.522731,KT,True,0.228,,False,False,C등급 / 약우세,KT,0.524,True,True,KT rolling backtest uses only KT games before this date.
2025-07-05,2025,두산,False,1347,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.519,0.5193,두산,False,0.27,,False,False,D등급 / 관망,KT,0.52,False,True,KT rolling backtest uses only KT games before this date.
2025-07-06,2025,두산,False,1348,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.518,0.518301,두산,False,0.269,,True,False,D등급 / 관망,KT,0.545,False,True,KT rolling backtest uses only KT games before this date.
2025-07-08,2025,SSG,False,1349,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.515,0.515177,SSG,False,0.265,,False,True,D등급 / 관망,SSG,0.558,True,False,KT rolling backtest uses only KT games before this date.
2025-07-09,2025,SSG,False,1350,ExtraTreesClassifier,kt_without_false_signal_features,SSG,0.511,0.489497,KT,False,0.261,,False,True,D등급 / 관망,SSG,0.566,False,True,KT rolling backtest uses only KT games before this date.
2025-07-10,2025,SSG,False,1351,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.513,0.512825,KT,True,0.237,,False,False,D등급 / 관망,SSG,0.542,False,False,KT rolling backtest uses only KT games before this date.
2025-07-18,2025,한화,True,1352,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.521,0.478698,한화,True,0.229,,False,True,C등급 / 약우세,한화,0.576,True,True,KT rolling backtest uses only KT games before this date.
2025-07-19,2025,한화,True,1353,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.561,0.438958,한화,True,0.193,,True,False,B등급 / 추천,한화,0.524,True,True,KT rolling backtest uses only KT games before this date.
2025-07-20,2025,한화,True,1354,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.545,0.454883,한화,True,0.207,,False,True,C등급 / 약우세,KT,0.511,False,False,KT rolling backtest uses only KT games before this date.
2025-07-22,2025,NC,False,1355,ExtraTreesClassifier,kt_without_false_signal_features,NC,0.509,0.490938,KT,False,0.259,,False,True,D등급 / 관망,NC,0.525,False,True,KT rolling backtest uses only KT games before this date.
2025-07-23,2025,NC,False,1356,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.509,0.509488,KT,True,0.241,,False,True,D등급 / 관망,KT,0.516,True,True,KT rolling backtest uses only KT games before this date.
2025-07-24,2025,NC,False,1357,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.517,0.517089,KT,True,0.233,,True,False,D등급 / 관망,KT,0.53,True,True,KT rolling backtest uses only KT games before this date.
2025-07-25,2025,삼성,True,1358,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.534,0.533777,KT,True,0.217,,False,False,C등급 / 약우세,KT,0.556,True,True,KT rolling backtest uses only KT games before this date.
2025-07-26,2025,삼성,True,1359,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.546,0.546436,삼성,False,0.299,,False,True,C등급 / 약우세,KT,0.557,False,True,KT rolling backtest uses only KT games before this date.
2025-07-27,2025,삼성,True,1360,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.546,0.54577,KT,True,0.206,,True,False,C등급 / 약우세,KT,0.563,True,True,KT rolling backtest uses only KT games before this date.
2025-07-29,2025,LG,False,1361,ExtraTreesClassifier,kt_without_false_signal_features,LG,0.5,0.499828,LG,True,0.25,,False,True,D등급 / 관망,LG,0.522,True,True,KT rolling backtest uses only KT games before this date.
2025-07-30,2025,LG,False,1362,ExtraTreesClassifier,kt_without_false_signal_features,LG,0.523,0.476617,LG,True,0.227,,False,True,C등급 / 약우세,LG,0.544,True,True,KT rolling backtest uses only KT games before this date.
2025-07-31,2025,LG,False,1363,ExtraTreesClassifier,kt_without_false_signal_features,LG,0.53,0.469876,LG,True,0.221,,False,True,C등급 / 약우세,LG,0.555,True,True,KT rolling backtest uses only KT games before this date.
2025-08-01,2025,NC,False,1364,ExtraTreesClassifier,kt_without_false_signal_features,NC,0.529,0.471279,NC,True,0.222,,False,False,C등급 / 약우세,KT,0.506,False,False,KT rolling backtest uses only KT games before this date.
2025-08-02,2025,NC,False,1365,ExtraTreesClassifier,kt_without_false_signal_features,NC,0.546,0.454214,NC,True,0.206,,True,False,C등급 / 약우세,NC,0.513,True,True,KT rolling backtest uses only KT games before this date.
2025-08-05,2025,한화,False,1366,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.592,0.407955,KT,False,0.351,,False,False,B등급 / 추천,한화,0.526,False,True,KT rolling backtest uses only KT games before this date.
2025-08-06,2025,한화,False,1367,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.579,0.421285,한화,True,0.177,,True,False,B등급 / 추천,한화,0.52,True,True,KT rolling backtest uses only KT games before this date.
2025-08-07,2025,한화,False,1368,ExtraTreesClassifier,kt_without_false_signal_features,한화,0.598,0.401933,KT,False,0.358,,True,False,B등급 / 추천,한화,0.583,False,True,KT rolling backtest uses only KT games before this date.
2025-08-08,2025,삼성,True,1369,ExtraTreesClassifier,kt_without_false_signal_features,삼성,0.531,0.468768,삼성,True,0.22,,False,False,C등급 / 약우세,KT,0.563,False,False,KT rolling backtest uses only KT games before this date.
2025-08-09,2025,삼성,True,1370,ExtraTreesClassifier,kt_without_false_signal_features,삼성,0.537,0.463304,KT,False,0.288,,False,False,C등급 / 약우세,KT,0.557,True,False,KT rolling backtest uses only KT games before this date.
2025-08-10,2025,삼성,True,1371,ExtraTreesClassifier,kt_without_false_signal_features,삼성,0.507,0.493304,KT,False,0.257,,False,True,D등급 / 관망,KT,0.558,True,False,KT rolling backtest uses only KT games before this date.
2025-08-12,2025,LG,True,1372,ExtraTreesClassifier,kt_without_false_signal_features,LG,0.511,0.489097,LG,True,0.239,,False,True,D등급 / 관망,LG,0.526,True,True,KT rolling backtest uses only KT games before this date.
2025-08-15,2025,키움,False,1373,ExtraTreesClassifier,kt_without_false_signal_features,키움,0.532,0.468366,키움,True,0.219,,False,False,C등급 / 약우세,KT,0.524,False,False,KT rolling backtest uses only KT games before this date.
2025-08-16,2025,키움,False,1374,ExtraTreesClassifier,kt_without_false_signal_features,KT,0.5,0.500023,키움,False,0.25,,True,False,D등급 / 관망,KT,0.538,False,True,KT rolling backtest uses only KT games before this date.
2025-08-17,2025,키움,False,1375,ExtraTreesClassifier,kt_without_false_signal_features,키움,0.504,0.495881,KT,False,0.254,,False,False,D등급 / 관망,키움,0.505,False,True,KT rolling backtest uses only KT games before this date.
