strategy_name,model_name,feature_set,kt_games_total,picked_games,coverage_rate,pick_accuracy,avg_probability,brier,log_loss,home_pick_accuracy,away_pick_accuracy,current_season_pick_accuracy,interpretation
all_kt_games,LogisticRegression,kt_all_non_pitching_safe_features,306,306,1.0,0.546,0.574,0.251,0.695,0.551,0.54,0.536,KT strategy improves over production baseline
kt_probability_ge_52,LogisticRegression,kt_all_non_pitching_safe_features,306,255,0.833,0.545,0.587,0.251,0.696,0.574,0.513,0.546,KT strategy improves over production baseline
kt_probability_ge_53,LogisticRegression,kt_all_non_pitching_safe_features,306,236,0.771,0.555,0.592,0.251,0.695,0.585,0.519,0.554,KT strategy improves over production baseline
kt_probability_ge_54,LogisticRegression,kt_all_non_pitching_safe_features,306,215,0.703,0.553,0.597,0.251,0.696,0.583,0.516,0.543,KT strategy improves over production baseline
kt_probability_ge_55,LogisticRegression,kt_all_non_pitching_safe_features,306,185,0.605,0.557,0.606,0.251,0.697,0.596,0.506,0.55,KT strategy improves over production baseline
kt_home_only,LogisticRegression,kt_all_non_pitching_safe_features,306,156,0.51,0.551,0.58,0.244,0.68,0.551,,0.556,KT strategy improves over production baseline
kt_away_only,LogisticRegression,kt_all_non_pitching_safe_features,306,150,0.49,0.54,0.568,0.258,0.711,,0.54,0.516,KT strategy improves over production baseline
kt_after_loss_games,LogisticRegression,kt_all_non_pitching_safe_features,306,135,0.441,0.556,0.573,0.253,0.7,0.559,0.552,0.574,KT strategy improves over production baseline
kt_after_win_games,LogisticRegression,kt_all_non_pitching_safe_features,306,171,0.559,0.538,0.575,0.249,0.692,0.545,0.53,0.513,KT strategy improves over production baseline
kt_model_and_production_agree,LogisticRegression,kt_all_non_pitching_safe_features,306,202,0.66,0.554,0.585,0.251,0.695,0.577,0.531,0.581,KT strategy improves over production baseline
kt_model_disagrees_with_production,LogisticRegression,kt_all_non_pitching_safe_features,306,96,0.314,0.531,0.549,0.25,0.693,0.51,0.553,0.406,KT strategy improves over production baseline
kt_consensus_only,LogisticRegression,kt_all_non_pitching_safe_features,306,180,0.588,0.55,0.594,0.251,0.696,0.579,0.518,0.566,KT strategy improves over production baseline
