model,feature_set,probability_bin,games,avg_predicted_probability,actual_win_rate,calibration_gap,brier,log_loss,interpretation
GradientBoosting 시간가중 모델,current_operational_feature_set,0.50-0.53,988,0.516,0.553,-0.037,0.248,0.69,과소신 구간
GradientBoosting 시간가중 모델,current_operational_feature_set,0.53-0.55,647,0.54,0.515,0.025,0.251,0.695,보정 양호
GradientBoosting 시간가중 모델,current_operational_feature_set,0.55-0.58,806,0.565,0.581,-0.016,0.244,0.681,보정 양호
GradientBoosting 시간가중 모델,current_operational_feature_set,0.58-0.60,321,0.589,0.526,0.062,0.253,0.7,과신 구간
GradientBoosting 시간가중 모델,current_operational_feature_set,0.60+,226,0.62,0.615,0.005,0.237,0.666,보정 양호
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,baseline_plus_month_phase,0.50-0.53,1007,0.516,0.544,-0.028,0.249,0.691,보정 양호
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,baseline_plus_month_phase,0.53-0.55,1004,0.54,0.532,0.008,0.249,0.691,보정 양호
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,baseline_plus_month_phase,0.55-0.58,820,0.566,0.607,-0.042,0.24,0.673,과소신 구간
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,baseline_plus_month_phase,0.58-0.60,133,0.589,0.519,0.07,0.255,0.702,과신 구간
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,baseline_plus_month_phase,0.60+,24,0.603,0.667,-0.064,0.226,0.644,과소신 구간
