date,game_id,away_team,home_team,production_pick,challenger_pick,logistic_pick,gradient_boosting_pick,random_forest_pick,extra_trees_pick,ensemble_pick,model_agreement_count,model_disagreement_count,consensus_strength,actual_winner,consensus_result,interpretation
2024-06-30,20240630SSKT2,삼성,KT,KT,삼성,KT,KT,KT,KT,KT,6,1,strong_consensus,KT,correct,4개 이상 모델 일치
2024-06-30,20240630LGNC1,LG,NC,LG,LG,LG,LG,LG,NC,LG,6,1,strong_consensus,LG,correct,4개 이상 모델 일치
2024-06-30,20240630SKOB0,SSG,두산,두산,두산,두산,두산,두산,두산,두산,7,0,strong_consensus,SSG,miss,4개 이상 모델 일치
2024-07-02,20240702HTSS0,KIA,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,7,0,strong_consensus,KIA,miss,4개 이상 모델 일치
2024-07-02,20240702KTHH0,KT,한화,KT,KT,KT,KT,KT,KT,KT,7,0,strong_consensus,KT,correct,4개 이상 모델 일치
2024-07-02,20240702LGWO0,LG,키움,LG,LG,LG,LG,키움,키움,LG,5,2,strong_consensus,키움,miss,4개 이상 모델 일치
2024-07-03,20240703HTSS0,KIA,삼성,삼성,삼성,삼성,삼성,KIA,삼성,삼성,6,1,strong_consensus,KIA,miss,4개 이상 모델 일치
2024-07-03,20240703KTHH0,KT,한화,KT,KT,KT,KT,KT,KT,KT,7,0,strong_consensus,KT,correct,4개 이상 모델 일치
2024-07-03,20240703LGWO0,LG,키움,키움,키움,LG,키움,LG,키움,키움,5,2,strong_consensus,키움,correct,4개 이상 모델 일치
2024-07-03,20240703SKNC0,SSG,NC,NC,SSG,NC,NC,NC,NC,NC,6,1,strong_consensus,NC,correct,4개 이상 모델 일치
2024-07-03,20240703LTOB0,롯데,두산,롯데,롯데,두산,롯데,롯데,롯데,롯데,6,1,strong_consensus,두산,miss,4개 이상 모델 일치
2024-07-04,20240704HTSS0,KIA,삼성,삼성,삼성,삼성,삼성,KIA,삼성,삼성,6,1,strong_consensus,KIA,miss,4개 이상 모델 일치
2024-07-04,20240704KTHH0,KT,한화,KT,한화,KT,KT,KT,KT,KT,6,1,strong_consensus,한화,miss,4개 이상 모델 일치
2024-07-04,20240704LGWO0,LG,키움,키움,키움,키움,LG,키움,키움,키움,6,1,strong_consensus,LG,miss,4개 이상 모델 일치
2024-07-04,20240704SKNC0,SSG,NC,NC,NC,NC,NC,NC,NC,NC,7,0,strong_consensus,NC,correct,4개 이상 모델 일치
2024-07-04,20240704LTOB0,롯데,두산,두산,두산,두산,두산,두산,두산,두산,7,0,strong_consensus,두산,correct,4개 이상 모델 일치
2024-07-09,20240709HTLG0,KIA,LG,KIA,KIA,LG,LG,KIA,LG,KIA,4,3,strong_consensus,KIA,correct,4개 이상 모델 일치
2024-07-09,20240709LTSK0,롯데,SSG,SSG,SSG,SSG,롯데,롯데,롯데,SSG,4,3,strong_consensus,SSG,correct,4개 이상 모델 일치
2024-07-09,20240709HHWO0,한화,키움,키움,키움,키움,키움,키움,키움,키움,7,0,strong_consensus,키움,correct,4개 이상 모델 일치
2024-07-10,20240710HTLG0,KIA,LG,LG,KIA,LG,LG,KIA,KIA,LG,4,3,strong_consensus,KIA,miss,4개 이상 모델 일치
2024-07-10,20240710OBKT0,두산,KT,두산,KT,두산,KT,두산,KT,두산,4,3,strong_consensus,KT,miss,4개 이상 모델 일치
2024-07-10,20240710NCSS0,NC,삼성,삼성,삼성,삼성,삼성,삼성,NC,삼성,6,1,strong_consensus,삼성,correct,4개 이상 모델 일치
2024-07-10,20240710LTSK0,롯데,SSG,SSG,SSG,SSG,SSG,SSG,SSG,SSG,7,0,strong_consensus,롯데,miss,4개 이상 모델 일치
