model,total_games,accuracy,brier,logloss,avg_confidence,p75_confidence,p90_confidence,max_confidence,over_55,over_58,over_60,over_55_accuracy
기본 흐름 모델,2942,0.507,0.256,0.706,0.56,0.587,0.62,0.797,1543,869,499,0.504
전력/일정 피로도 포함 모델,2942,0.521,0.253,0.699,0.558,0.582,0.613,0.805,1489,780,459,0.522
핵심 수치 모델,2942,0.529,0.25,0.693,0.558,0.581,0.617,0.828,1446,752,465,0.564
핵심 수치 RandomForest 보수 모델,2942,0.534,0.248,0.689,0.543,0.562,0.582,0.631,1146,315,99,0.572
핵심 수치 RandomForest 보수 시간가중 모델,2942,0.531,0.248,0.689,0.543,0.563,0.581,0.629,1160,314,66,0.566
핵심 수치 GradientBoosting 보수 모델,2942,0.544,0.248,0.689,0.546,0.57,0.585,0.683,1288,409,87,0.555
핵심 수치 GradientBoosting 보수 시간가중 모델,2942,0.54,0.248,0.689,0.545,0.568,0.583,0.666,1273,388,92,0.556
Streak 피처 RandomForest 실험,2942,0.531,0.248,0.69,0.54,0.557,0.577,0.627,965,263,60,0.569
Streak 피처 RandomForest 시간가중 실험,2942,0.535,0.248,0.689,0.54,0.559,0.577,0.632,1044,249,49,0.552
Streak 피처 GradientBoosting 실험,2942,0.543,0.249,0.691,0.552,0.58,0.602,0.768,1379,737,321,0.548
Streak 피처 GradientBoosting 시간가중 실험,2942,0.543,0.248,0.69,0.545,0.568,0.581,0.672,1257,328,81,0.555
LogisticRegression 보수 모델,2942,0.521,0.253,0.699,0.558,0.582,0.613,0.805,1489,780,457,0.522
RandomForest 비선형 모델,2942,0.527,0.248,0.689,0.543,0.563,0.583,0.645,1129,348,93,0.581
RandomForest 시간가중 모델,2942,0.53,0.248,0.689,0.543,0.563,0.581,0.64,1122,319,90,0.579
RandomForest 보수 모델,2942,0.531,0.248,0.689,0.54,0.558,0.574,0.627,985,219,52,0.57
RandomForest 보수 시간가중 모델,2942,0.532,0.248,0.689,0.541,0.559,0.574,0.618,1042,196,40,0.572
ExtraTrees 보수 모델,2942,0.531,0.25,0.692,0.527,0.539,0.554,0.587,368,12,0,0.511
GradientBoosting 비선형 모델,2942,0.536,0.248,0.69,0.548,0.571,0.589,0.673,1372,489,163,0.573
GradientBoosting 시간가중 모델,2942,0.528,0.249,0.692,0.551,0.572,0.596,0.705,1368,583,244,0.561
GradientBoosting 보수 모델,2942,0.532,0.248,0.689,0.545,0.566,0.582,0.623,1290,337,70,0.574
GradientBoosting 보수 시간가중 모델,2942,0.533,0.248,0.689,0.544,0.563,0.578,0.626,1213,253,57,0.572
GradientBoosting 확률보정(sigmoid),2942,0.515,0.25,0.694,0.532,0.546,0.564,0.659,585,108,36,0.521
GradientBoosting 확률보정(isotonic),2942,0.516,0.251,0.695,0.537,0.549,0.574,0.743,705,234,120,0.536
경기 단위 RandomForest 모델,1415,0.504,0.251,0.694,0.531,0.547,0.563,0.617,296,50,12,0.51
경기 단위 RandomForest 시간가중 모델,1415,0.528,0.25,0.693,0.534,0.549,0.568,0.635,326,71,30,0.54
경기 단위 GradientBoosting 모델,1415,0.489,0.261,0.716,0.57,0.597,0.641,0.866,802,488,335,0.494
야구 핵심 피처 강화 모델,1415,0.52,0.249,0.692,0.535,0.552,0.566,0.653,382,58,18,0.545
야구 핵심 피처 GradientBoosting 모델,1415,0.51,0.256,0.707,0.567,0.594,0.639,0.832,753,464,318,0.527
야구 핵심 피처 RandomForest 모델,1415,0.509,0.25,0.692,0.536,0.553,0.571,0.661,408,82,25,0.551
경기 단위 선수영향도 참고 RandomForest,1415,0.504,0.252,0.698,0.533,0.548,0.565,0.617,315,61,11,0.46
경기 단위 선수영향도 참고 GradientBoosting,1415,0.492,0.261,0.716,0.571,0.599,0.647,0.866,789,506,351,0.475
