model,selected,accuracy,brier,log_loss,feature_count,over_55_games,over_55_accuracy,over_58_games,over_60_games,avg_confidence,p90_confidence
기본 흐름 모델,False,0.5,0.256,0.707,98,1603,0.503,947,604,0.564,0.627
전력/일정 피로도 포함 모델,False,0.525,0.253,0.7,103,1552,0.524,880,531,0.562,0.625
핵심 수치 모델,False,0.529,0.25,0.693,21,1446,0.564,752,465,0.558,0.617
핵심 수치 RandomForest 보수 모델,False,0.534,0.248,0.689,21,1146,0.572,315,99,0.543,0.582
핵심 수치 RandomForest 보수 시간가중 모델,False,0.531,0.248,0.689,21,1160,0.566,314,66,0.543,0.581
핵심 수치 GradientBoosting 보수 모델,True,0.544,0.248,0.689,21,1288,0.555,409,87,0.546,0.585
핵심 수치 GradientBoosting 보수 시간가중 모델,False,0.54,0.248,0.689,21,1273,0.556,388,92,0.545,0.583
Streak 피처 RandomForest 실험,False,0.531,0.248,0.689,38,971,0.567,255,56,0.54,0.576
Streak 피처 RandomForest 시간가중 실험,False,0.535,0.248,0.689,38,1052,0.548,245,43,0.54,0.577
Streak 피처 GradientBoosting 실험,False,0.541,0.248,0.689,38,1255,0.55,345,72,0.545,0.582
Streak 피처 GradientBoosting 시간가중 실험,False,0.539,0.248,0.69,38,1243,0.55,299,74,0.544,0.58
비투수 피처 GradientBoosting 실험 / baseline_core,False,0.547,0.249,0.691,21,1366,0.545,670,261,0.551,0.597
비투수 피처 GradientBoosting 실험 / baseline_plus_streak,False,0.543,0.248,0.69,38,1302,0.545,513,111,0.547,0.588
비투수 피처 GradientBoosting 실험 / baseline_plus_volatility,False,0.547,0.248,0.69,29,1378,0.554,510,112,0.548,0.589
비투수 피처 GradientBoosting 실험 / baseline_plus_close_blowout,False,0.539,0.248,0.69,29,1327,0.55,548,140,0.548,0.59
비투수 피처 GradientBoosting 실험 / baseline_plus_momentum,False,0.543,0.248,0.69,27,1298,0.555,399,120,0.547,0.585
비투수 피처 GradientBoosting 실험 / baseline_plus_venue_context,False,0.533,0.249,0.692,27,1470,0.563,740,347,0.554,0.606
비투수 피처 GradientBoosting 실험 / baseline_plus_month_phase,False,0.535,0.249,0.691,28,1550,0.565,786,307,0.556,0.601
비투수 피처 GradientBoosting 실험 / baseline_plus_all_non_pitching,False,0.531,0.248,0.69,73,1394,0.567,462,80,0.548,0.586
LogisticRegression 보수 모델,False,0.525,0.253,0.7,103,1544,0.524,881,533,0.562,0.626
RandomForest 비선형 모델,False,0.533,0.248,0.689,103,1030,0.581,272,113,0.542,0.578
RandomForest 시간가중 모델,False,0.546,0.248,0.688,103,1127,0.558,275,98,0.543,0.578
RandomForest 보수 모델,False,0.539,0.248,0.689,103,846,0.561,183,50,0.538,0.569
RandomForest 보수 시간가중 모델,False,0.543,0.248,0.689,103,929,0.554,155,24,0.539,0.569
ExtraTrees 보수 모델,False,0.525,0.25,0.692,103,333,0.511,4,0,0.525,0.552
GradientBoosting 비선형 모델,False,0.527,0.248,0.69,103,1317,0.569,410,120,0.547,0.585
GradientBoosting 시간가중 모델,False,0.54,0.248,0.689,103,1341,0.554,264,46,0.546,0.579
GradientBoosting 보수 모델,False,0.526,0.248,0.689,103,1337,0.564,360,66,0.547,0.582
GradientBoosting 보수 시간가중 모델,False,0.538,0.248,0.69,103,1424,0.551,477,164,0.549,0.59
GradientBoosting 확률보정(sigmoid),False,0.519,0.25,0.693,103,803,0.509,213,63,0.536,0.572
GradientBoosting 확률보정(isotonic),False,0.524,0.25,0.694,103,1133,0.516,347,89,0.543,0.583
경기 단위 RandomForest 모델,False,0.504,0.251,0.694,71,296,0.51,50,12,0.531,0.563
경기 단위 RandomForest 시간가중 모델,False,0.528,0.25,0.693,71,326,0.54,71,30,0.534,0.568
경기 단위 GradientBoosting 모델,False,0.489,0.261,0.716,71,802,0.494,488,335,0.57,0.641
야구 핵심 피처 강화 모델,False,0.52,0.249,0.692,34,382,0.545,58,18,0.535,0.566
야구 핵심 피처 GradientBoosting 모델,False,0.51,0.256,0.707,34,753,0.527,464,318,0.567,0.639
야구 핵심 피처 RandomForest 모델,False,0.509,0.25,0.692,34,408,0.551,82,25,0.536,0.571
경기 단위 선수영향도 참고 RandomForest,False,0.498,0.252,0.697,88,309,0.463,73,14,0.533,0.565
경기 단위 선수영향도 참고 GradientBoosting,False,0.489,0.26,0.715,88,806,0.48,510,356,0.571,0.645
