feature,feature_group,importance_rank,importance_mean,appears_in_best_candidate,segment_helped,segment_hurt,keep_candidate,reason,next_action
elo_diff,baseline,1,0.122397,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
recent_run_diff_10_gap,baseline,2,0.079181,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
recent_10_win_rate_gap,baseline,3,0.067827,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
recent_5_win_rate_gap,baseline,4,0.060829,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
opponent_avg_run_diff_last_10,baseline,5,0.059579,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
is_home,baseline,6,0.057702,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
avg_run_diff_last_10,baseline,7,0.056174,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
opponent_recent_10_win_rate,baseline,8,0.053011,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
head_to_head_win_rate_gap,baseline,9,0.052977,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
opponent_avg_run_diff_last_5,baseline,10,0.052329,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
recent_10_win_rate,baseline,11,0.049521,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
avg_run_diff_last_5,baseline,12,0.04828,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
opponent_recent_5_win_rate,baseline,13,0.045762,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
recent_5_win_rate,baseline,14,0.041787,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",review,중요도는 있으나 확률 품질 또는 일부 세그먼트 영향 확인 필요,다음 실험에서 선택 피처 세트 후보로 검토
season_win_rate_gap,baseline,15,0.038649,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
allowed_std_gap,volatility,16,0.032674,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
season_win_rate_prior,baseline,17,0.02868,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
season_avg_run_diff_gap,baseline,18,0.027571,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
team_recent_5_allowed_std,volatility,19,0.02491,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
opponent_recent_5_allowed_std,volatility,20,0.022704,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
back_to_back,baseline,21,0.008364,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
games_last_7_days,baseline,22,0.008356,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
opponent_recent_5_run_std,volatility,23,0.006541,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
team_recent_10_run_std,volatility,24,0.006296,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
opponent_recent_10_run_std,volatility,25,0.005946,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
rest_days,baseline,26,0.005176,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",false,중요도와 성능 기여 근거가 약함,후보 축소 시 제외
team_recent_5_run_std,volatility,27,0.004943,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
venue_win_rate_gap,venue_context,28,0.00473,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
run_std_gap,volatility,29,0.004355,True,"연패 흐름, 박빙 경기, 최근 5경기 흐름 차이 큼","연승 흐름, 명시 연패 streak, 대승/대패 경기, 강팀 vs 약팀, 2026 시즌",segment_only,특정 세그먼트 개선 후보로만 유지,다음 실험에서 선택 피처 세트 후보로 검토
