snapshot_date,reference_date,scheduled_games,expected_team_rows,actual_team_rows,confirmed_starter_count,estimated_starter_count,unknown_starter_count,duplicate_key_count,quality_status,safe_for_future_feature_use,note
2026-06-02,2026-06-02,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-03,2026-06-03,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-04,2026-06-04,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-05,2026-06-05,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-06,2026-06-06,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-07,2026-06-07,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-09,2026-06-09,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-10,2026-06-10,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-11,2026-06-11,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-12,2026-06-12,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-13,2026-06-13,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-14,2026-06-14,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-16,2026-06-16,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-17,2026-06-17,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-18,2026-06-18,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-19,2026-06-19,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-20,2026-06-20,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-21,2026-06-21,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-23,2026-06-23,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-24,2026-06-24,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-25,2026-06-25,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-26,2026-06-26,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-27,2026-06-27,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-28,2026-06-28,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-06-30,2026-06-30,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-01,2026-07-01,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-02,2026-07-02,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-03,2026-07-03,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-04,2026-07-04,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-05,2026-07-05,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-07,2026-07-07,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-08,2026-07-08,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-09,2026-07-09,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-16,2026-07-16,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-29,2026-07-29,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-30,2026-07-30,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-07-31,2026-07-31,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-01,2026-08-01,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-02,2026-08-02,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-04,2026-08-04,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-05,2026-08-05,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-06,2026-08-06,5,10,10,0,10,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-07,2026-08-07,5,10,10,0,10,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-11,2026-08-11,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-12,2026-08-12,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-13,2026-08-13,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-14,2026-08-14,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-15,2026-08-15,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-16,2026-08-16,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-18,2026-08-18,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-19,2026-08-19,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-20,2026-08-20,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-21,2026-08-21,1,2,2,2,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-22,2026-08-22,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-23,2026-08-23,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-25,2026-08-25,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-26,2026-08-26,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-27,2026-08-27,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-28,2026-08-28,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-29,2026-08-29,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-08-30,2026-08-30,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-09-01,2026-09-01,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-09-02,2026-09-02,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
2026-09-03,2026-09-03,5,10,10,10,0,0,0,pass,False,품질 통과 후 별도 피처 실험 필요
