fold,train_end,test_start,test_end,model,feature_count,test_team_rows,test_games,accuracy,brier_score,log_loss,over_55_games,over_55_accuracy,average_confidence
1,2026-06-20,2026-06-21,2026-06-28,historical_baseline,21,70,35,0.6571,0.2366,0.6662,13,0.6923,0.5398
1,2026-06-20,2026-06-21,2026-06-28,historical_baseline_plus_starter_conservative,4,70,35,0.6286,0.2339,0.6608,16,0.8125,0.5427
1,2026-06-20,2026-06-21,2026-06-28,historical_baseline_plus_bullpen_proxy_conservative,3,70,35,0.6571,0.2345,0.6619,10,0.8,0.5375
1,2026-06-20,2026-06-21,2026-06-28,historical_baseline_plus_all_snapshot_conservative,16,70,35,0.6286,0.2338,0.6606,11,0.8182,0.5378
2,2026-06-29,2026-06-30,2026-07-07,historical_baseline,21,62,31,0.5806,0.2426,0.6783,19,0.5789,0.5623
2,2026-06-29,2026-06-30,2026-07-07,historical_baseline_plus_starter_conservative,4,62,31,0.5806,0.2401,0.6731,23,0.6522,0.572
2,2026-06-29,2026-06-30,2026-07-07,historical_baseline_plus_bullpen_proxy_conservative,3,62,31,0.5484,0.2569,0.7078,20,0.55,0.5684
2,2026-06-29,2026-06-30,2026-07-07,historical_baseline_plus_all_snapshot_conservative,16,62,31,0.5484,0.2497,0.6928,22,0.5909,0.5638
3,2026-07-07,2026-07-08,2026-08-01,historical_baseline,21,60,30,0.6333,0.2441,0.6814,18,0.5556,0.5533
3,2026-07-07,2026-07-08,2026-08-01,historical_baseline_plus_starter_conservative,4,60,30,0.6,0.2465,0.6862,16,0.5,0.5602
3,2026-07-07,2026-07-08,2026-08-01,historical_baseline_plus_bullpen_proxy_conservative,3,60,30,0.6,0.2436,0.6804,18,0.5556,0.5552
3,2026-07-07,2026-07-08,2026-08-01,historical_baseline_plus_all_snapshot_conservative,16,60,30,0.6,0.2467,0.6865,14,0.5,0.5526
4,2026-08-01,2026-08-02,2026-08-15,historical_baseline,21,64,32,0.5,0.2519,0.6971,10,0.4,0.5399
4,2026-08-01,2026-08-02,2026-08-15,historical_baseline_plus_starter_conservative,4,64,32,0.4688,0.2496,0.6923,14,0.5714,0.5458
4,2026-08-01,2026-08-02,2026-08-15,historical_baseline_plus_bullpen_proxy_conservative,3,64,32,0.5,0.2535,0.7002,11,0.4545,0.5458
4,2026-08-01,2026-08-02,2026-08-15,historical_baseline_plus_all_snapshot_conservative,16,64,32,0.4688,0.2501,0.6933,12,0.5,0.5432
5,2026-08-15,2026-08-16,2026-08-23,historical_baseline,21,50,25,0.6,0.2456,0.6845,13,0.4615,0.5479
5,2026-08-15,2026-08-16,2026-08-23,historical_baseline_plus_starter_conservative,4,50,25,0.6,0.2465,0.6861,14,0.5,0.5511
5,2026-08-15,2026-08-16,2026-08-23,historical_baseline_plus_bullpen_proxy_conservative,3,50,25,0.6,0.2467,0.6865,14,0.5,0.5497
5,2026-08-15,2026-08-16,2026-08-23,historical_baseline_plus_all_snapshot_conservative,16,50,25,0.6,0.2476,0.6883,12,0.5833,0.547
