model_name,feature_set,training_scope,train_games,test_games,accuracy,brier,log_loss,over_55_games,over_55_accuracy,daily_top1_accuracy,daily_top2_accuracy,confirmed_starter_games,confirmed_starter_accuracy,starter_edge_games,starter_edge_accuracy,bullpen_edge_games,bullpen_edge_accuracy,current_season_accuracy,rolling_accuracy,selected_as_pregame_challenger,interpretation
production baseline on same games,production_features_only,historical_pregame_safe,6006,1488,0.536,0.249,0.692,566,0.549,0.549,0.555,591,0.555,487,0.54,318,0.575,0.555,,False,offline monitoring candidate; not production probability input
LogisticRegression,production_features_only,historical_pregame_safe,6006,1488,0.536,0.249,0.692,566,0.549,0.549,0.555,591,0.555,487,0.54,318,0.575,0.555,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,production_features_only,historical_pregame_safe,6006,1488,0.515,0.253,0.699,734,0.527,0.535,0.534,591,0.492,487,0.487,318,0.506,0.492,,False,offline monitoring candidate; not production probability input
RandomForest,production_features_only,historical_pregame_safe,6006,1488,0.536,0.249,0.691,596,0.545,0.529,0.55,591,0.54,487,0.53,318,0.535,0.54,,False,offline monitoring candidate; not production probability input
LogisticRegression,starter_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,starter_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
RandomForest,starter_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
LogisticRegression,bullpen_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,bullpen_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
RandomForest,bullpen_features_only,historical_pregame_safe,6006,1488,0.511,0.25,0.694,0,,0.486,0.487,591,0.518,487,0.515,318,0.5,0.518,,False,offline monitoring candidate; not production probability input
LogisticRegression,previous_game_fatigue_features_only,historical_pregame_safe,6006,1488,0.507,0.25,0.694,95,0.589,0.506,0.504,591,0.525,487,0.515,318,0.516,0.525,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,previous_game_fatigue_features_only,historical_pregame_safe,6006,1488,0.513,0.251,0.695,161,0.571,0.52,0.485,591,0.53,487,0.526,318,0.535,0.53,,False,offline monitoring candidate; not production probability input
RandomForest,previous_game_fatigue_features_only,historical_pregame_safe,6006,1488,0.514,0.251,0.695,160,0.594,0.526,0.49,591,0.531,487,0.528,318,0.538,0.531,,False,offline monitoring candidate; not production probability input
LogisticRegression,production_plus_starter,historical_pregame_safe,6006,1488,0.536,0.249,0.692,566,0.549,0.549,0.555,591,0.555,487,0.54,318,0.575,0.555,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,production_plus_starter,historical_pregame_safe,6006,1488,0.515,0.253,0.699,734,0.527,0.535,0.534,591,0.492,487,0.487,318,0.506,0.492,,False,offline monitoring candidate; not production probability input
RandomForest,production_plus_starter,historical_pregame_safe,6006,1488,0.541,0.249,0.691,600,0.545,0.546,0.543,591,0.553,487,0.546,318,0.557,0.553,,False,offline monitoring candidate; not production probability input
LogisticRegression,production_plus_bullpen,historical_pregame_safe,6006,1488,0.536,0.249,0.692,566,0.549,0.549,0.555,591,0.555,487,0.54,318,0.575,0.555,,False,offline monitoring candidate; not production probability input
HistGradientBoosting,production_plus_bullpen,historical_pregame_safe,6006,1488,0.515,0.253,0.699,734,0.527,0.535,0.534,591,0.492,487,0.487,318,0.506,0.492,,False,offline monitoring candidate; not production probability input
