strategy_name,model_name,feature_set,games_total,picked_games,coverage_rate,pick_accuracy,daily_top1_games,daily_top1_accuracy,daily_top2_games,daily_top2_accuracy,confirmed_starter_pick_accuracy,starter_edge_pick_accuracy,bullpen_edge_pick_accuracy,avg_probability,brier,log_loss,interpretation
all_games,RandomForest,production_plus_pregame_safe_features,1464,1464,1.0,0.535,341,0.537,669,0.55,,,0.489,0.545,0.25,0.693,selective strategy backtest; offline monitoring only
probability_ge_52,RandomForest,production_plus_pregame_safe_features,1464,985,0.673,0.547,333,0.535,629,0.55,,,0.543,0.562,0.25,0.693,selective strategy backtest; offline monitoring only
probability_ge_53,RandomForest,production_plus_pregame_safe_features,1464,830,0.567,0.537,327,0.529,592,0.546,,,0.5,0.569,0.25,0.694,selective strategy backtest; offline monitoring only
probability_ge_54,RandomForest,production_plus_pregame_safe_features,1464,711,0.486,0.533,315,0.514,545,0.538,,,0.538,0.574,0.251,0.695,selective strategy backtest; offline monitoring only
probability_ge_55,RandomForest,production_plus_pregame_safe_features,1464,590,0.403,0.529,304,0.52,488,0.537,,,0.571,0.58,0.252,0.697,selective strategy backtest; offline monitoring only
daily_top1,RandomForest,production_plus_pregame_safe_features,1464,341,0.233,0.537,341,0.537,341,0.537,,,0.778,0.583,0.253,0.7,selective strategy backtest; offline monitoring only
daily_top2,RandomForest,production_plus_pregame_safe_features,1464,669,0.457,0.55,341,0.537,669,0.55,,,0.5,0.57,0.25,0.692,selective strategy backtest; offline monitoring only
confirmed_starters_only,RandomForest,production_plus_pregame_safe_features,1464,0,0.0,,0,,0,,,,,,,,selective strategy backtest; offline monitoring only
starter_edge_only,RandomForest,production_plus_pregame_safe_features,1464,0,0.0,,0,,0,,,,,,,,selective strategy backtest; offline monitoring only
bullpen_edge_only,RandomForest,production_plus_pregame_safe_features,1464,47,0.032,0.489,9,0.778,28,0.5,,,0.489,0.549,0.25,0.693,selective strategy backtest; offline monitoring only
starter_and_bullpen_edge_agree,RandomForest,production_plus_pregame_safe_features,1464,0,0.0,,0,,0,,,,,,,,selective strategy backtest; offline monitoring only
production_and_pregame_agree,RandomForest,production_plus_pregame_safe_features,1464,0,0.0,,0,,0,,,,,,,,production comparison unavailable in this offline challenger report
production_and_pregame_disagree_avoid,RandomForest,production_plus_pregame_safe_features,1464,0,0.0,,0,,0,,,,,,,,production comparison unavailable in this offline challenger report
