prediction_date,game_date,game_id,away_team,home_team,predicted_winner,predicted_probability,recommendation_strength,recommendation_grade,status,reason
2026-05-20,2026-05-20,20260520KTSS0,KT,삼성,삼성,0.536,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,20260520NCOB0,NC,두산,두산,0.575,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,20260520LTHH0,롯데,한화,한화,0.526,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,20260520LGHT0,LG,KIA,LG,0.505,관망,D등급,pending,final result not available
2026-05-20,2026-05-20,2026-05-20_NC_두산,NC,두산,두산,0.575,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,2026-05-20_KT_삼성,KT,삼성,삼성,0.536,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,2026-05-20_SSG_키움,SSG,키움,SSG,0.528,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,2026-05-20_롯데_한화,롯데,한화,한화,0.526,약우세,C등급,pending,final result not available
2026-05-20,2026-05-20,2026-05-20_LG_KIA,LG,KIA,LG,0.505,관망,D등급,pending,final result not available
2026-05-21,2026-05-21,2026-05-21_NC_두산,NC,두산,두산,0.576,약우세,C등급,pending,final result not available
2026-05-21,2026-05-21,2026-05-21_KT_삼성,KT,삼성,삼성,0.543,약우세,C등급,pending,final result not available
2026-05-21,2026-05-21,2026-05-21_LG_KIA,LG,KIA,KIA,0.521,약우세,C등급,pending,final result not available
2026-05-21,2026-05-21,2026-05-21_롯데_한화,롯데,한화,한화,0.519,관망,D등급,pending,final result not available
2026-05-21,2026-05-21,2026-05-21_SSG_키움,SSG,키움,키움,0.501,관망,D등급,pending,final result not available
2026-05-22,2026-05-22,2026-05-22_NC_KT,NC,KT,KT,0.569,약우세,C등급,pending,final result not available
2026-05-22,2026-05-22,2026-05-22_키움_LG,키움,LG,LG,0.556,약우세,C등급,pending,final result not available
2026-05-22,2026-05-22,2026-05-22_두산_한화,두산,한화,두산,0.553,약우세,C등급,pending,final result not available
2026-05-22,2026-05-22,2026-05-22_SSG_KIA,SSG,KIA,KIA,0.544,약우세,C등급,pending,final result not available
2026-05-22,2026-05-22,2026-05-22_삼성_롯데,삼성,롯데,삼성,0.515,관망,D등급,pending,final result not available
2026-05-23,2026-05-23,2026-05-23_NC_KT,NC,KT,KT,0.569,약우세,C등급,pending,final result not available
2026-05-23,2026-05-23,2026-05-23_키움_LG,키움,LG,LG,0.555,약우세,C등급,pending,final result not available
2026-05-23,2026-05-23,2026-05-23_SSG_KIA,SSG,KIA,KIA,0.545,약우세,C등급,pending,final result not available
2026-05-23,2026-05-23,2026-05-23_두산_한화,두산,한화,두산,0.543,약우세,C등급,pending,final result not available
2026-05-23,2026-05-23,2026-05-23_삼성_롯데,삼성,롯데,삼성,0.515,관망,D등급,pending,final result not available
2026-05-24,2026-05-24,2026-05-24_SSG_KIA,SSG,KIA,KIA,0.572,약우세,C등급,pending,final result not available
