policy_name,grade,games,accuracy,brier,log_loss,avg_probability,over_55_games,over_55_accuracy,win_pick_accuracy,handicap_pick_count,over_under_pick_count,interpretation
current_policy,관망,2400,0.537,0.249,0.69,0.531,482,0.556,0.537,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
current_policy,추천,608,0.638,0.235,0.663,0.581,608,0.638,0.638,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
absolute_threshold_policy,A등급 / 강추천,255,0.616,0.238,0.669,0.595,255,0.616,0.616,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
absolute_threshold_policy,B등급 / 추천,835,0.598,0.241,0.676,0.563,835,0.598,0.598,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
absolute_threshold_policy,C등급 / 약우세,1201,0.526,0.249,0.69,0.534,0,,0.526,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
absolute_threshold_policy,D등급 / 관망,717,0.541,0.25,0.692,0.51,0,,0.541,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
daily_top_pick_policy,오늘 TOP PICK,342,0.623,0.238,0.668,0.57,286,0.622,0.623,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
daily_top_pick_policy,일반,2666,0.549,0.247,0.687,0.538,804,0.595,0.549,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
daily_top_30_percent_policy,상대적 우세 후보,1229,0.617,0.24,0.672,0.563,917,0.613,0.617,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
daily_top_30_percent_policy,일반,1779,0.516,0.25,0.694,0.526,173,0.543,0.516,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
grade_policy_v1,A등급 / 강추천,255,0.616,0.238,0.669,0.595,255,0.616,0.616,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
grade_policy_v1,B등급 / 추천,664,0.613,0.239,0.671,0.564,664,0.613,0.613,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
grade_policy_v1,C등급 / 약우세,1372,0.528,0.249,0.691,0.537,171,0.538,0.528,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
grade_policy_v1,D등급 / 관망,717,0.541,0.25,0.692,0.51,0,,0.541,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
conservative_market_policy,A등급 / 강추천,255,0.616,0.238,0.669,0.595,255,0.616,0.616,76,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
conservative_market_policy,B등급 / 추천,664,0.613,0.239,0.671,0.564,664,0.613,0.613,76,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
conservative_market_policy,C등급 / 약우세,1372,0.528,0.249,0.691,0.537,171,0.538,0.528,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
conservative_market_policy,D등급 / 관망,717,0.541,0.25,0.692,0.51,0,,0.541,0,0,승패 방향 정보와 시장별 추천을 분리해 표시하는 정책 평가입니다.
