game_id,date,home_team,away_team,home_score,away_score,run_diff,total_runs,target_home_win,home_recent_runs_avg,away_recent_runs_avg,home_recent_allowed_avg,away_recent_allowed_avg,home_season_runs_avg,away_season_runs_avg,home_season_allowed_avg,away_season_allowed_avg,recent_runs_avg_gap,recent_allowed_avg_gap,season_runs_avg_gap,season_allowed_avg_gap,recent_run_diff_gap,season_run_diff_gap,home_recent_10_win_rate,away_recent_10_win_rate,recent_10_win_rate_gap,home_rest_days,away_rest_days,rest_days_gap,venue_win_rate_gap,elo_diff
20160401HTNC0,2016-04-01,NC,KIA,5.0,4.0,1.0,9.0,1,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
20160401KTSK0,2016-04-01,SK,KT,4.0,8.0,-4.0,12.0,0,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
20160401HHLG0,2016-04-01,LG,한화,5.0,4.0,1.0,9.0,1,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
20160401LTWO0,2016-04-01,넥센,롯데,1.0,2.0,-1.0,3.0,0,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
20160401OBSS0,2016-04-01,삼성,두산,1.0,5.0,-4.0,6.0,0,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,5.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
20160402HTNC0,2016-04-02,NC,KIA,3.0,4.0,-1.0,7.0,0,5.0,4.0,4.0,5.0,13.0,4.0,11.0,5.0,1.0,1.0,9.0,-6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,20.0
20160402KTSK0,2016-04-02,SK,KT,4.0,3.0,1.0,7.0,1,4.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,-4.0,-4.0,0.0,0.0,-8.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,-20.0
20160402HHLG0,2016-04-02,LG,한화,8.0,7.0,1.0,15.0,1,5.0,4.0,4.0,5.0,11.0,11.0,8.0,11.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0
20160402LTWO0,2016-04-02,넥센,롯데,5.0,3.0,2.0,8.0,1,1.0,2.0,2.0,1.0,8.0,11.0,11.0,11.0,-1.0,-1.0,-3.0,0.0,-2.0,-3.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,-20.0
20160402OBSS0,2016-04-02,삼성,두산,10.0,6.0,4.0,16.0,1,1.0,5.0,5.0,1.0,5.0,6.0,6.0,5.0,-4.0,-4.0,-1.0,-1.0,-8.0,-2.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,-20.0
20160403KTSK0,2016-04-03,SK,KT,4.0,5.0,-1.0,9.0,0,4.0,5.5,5.5,4.0,8.0,5.5,6.0,6.5,-1.5,-1.5,2.5,0.5,-3.0,3.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.15
20160403LTWO0,2016-04-03,넥센,롯데,6.0,5.0,1.0,11.0,1,3.0,2.5,2.5,3.0,6.0,6.0,8.0,5.0,0.5,0.5,0.0,-3.0,1.0,-3.0,0.5,0.5,0.0,1.0,1.0,0.0,-0.5,1.15
20160405LGHT0,2016-04-05,KIA,LG,4.0,1.0,3.0,5.0,1,4.0,6.5,4.0,5.5,5.0,12.0,6.0,7.5,-2.5,1.5,-7.0,1.5,-1.0,-5.5,0.5,1.0,-0.5,3.0,3.0,0.0,0.0,-18.85
20160405SSKT0,2016-04-05,KT,삼성,8.0,3.0,5.0,11.0,1,5.3333,5.5,4.0,5.5,4.0,6.0,3.0,6.5,-0.1667,1.5,-2.0,3.5,1.3333,1.5,0.6667,0.5,0.1667,2.0,3.0,-1.0,0.0,8.8831
20160405NCOB0,2016-04-05,두산,NC,6.0,2.0,4.0,8.0,1,5.5,4.0,5.5,4.0,8.5,7.0,9.5,7.5,1.5,-1.5,1.5,-2.0,0.0,-0.5,0.5,0.5,0.0,3.0,3.0,0.0,0.0,0.0
20160405SKLT0,2016-04-05,롯데,SK,2.0,1.0,1.0,3.0,1,3.3333,4.0,4.0,5.3333,5.6667,3.3333,4.3333,4.6667,-0.6667,1.3333,2.3333,0.3333,0.6667,2.6667,0.3333,0.3333,0.0,2.0,2.0,0.0,0.0,-1.0838
20160405WOHH0,2016-04-05,한화,넥센,9.0,5.0,4.0,14.0,1,5.5,4.0,6.5,3.3333,7.0,4.3333,9.5,6.0,1.5,-3.1667,2.6667,-3.5,-1.6667,-0.8333,0.0,0.6667,-0.6667,3.0,2.0,1.0,0.0,-29.9669
20160406SSKT0,2016-04-06,KT,삼성,6.0,11.0,-5.0,17.0,0,6.0,4.6667,3.75,6.3333,5.0,7.6667,4.5,4.6667,1.3333,2.5833,-2.6667,0.1667,3.9167,-2.5,0.75,0.3333,0.4167,1.0,1.0,0.0,-1.0,28.3718
20160406NCOB0,2016-04-06,두산,NC,2.0,0.0,2.0,2.0,1,5.6667,3.3333,4.3333,4.6667,7.6667,10.0,7.6667,8.6667,2.3333,0.3333,-2.3333,1.0,2.6667,-1.3333,0.6667,0.3333,0.3333,1.0,1.0,0.0,0.0,20.0
20160406SKLT0,2016-04-06,롯데,SK,11.0,1.0,10.0,12.0,1,3.0,3.25,3.25,4.5,4.75,2.5,3.25,4.0,-0.25,1.25,2.25,0.75,1.0,3.0,0.5,0.25,0.25,1.0,1.0,0.0,2.0,18.9786
20160406WOHH0,2016-04-06,한화,넥센,4.0,6.0,-2.0,10.0,0,6.6667,4.25,6.0,4.75,8.3333,3.5,8.3333,7.25,2.4167,-1.25,4.8333,-1.0833,1.1667,3.75,0.3333,0.5,-0.1667,1.0,1.0,0.0,1.0,-8.2461
20160407LGHT0,2016-04-07,KIA,LG,4.0,8.0,-4.0,12.0,0,4.0,4.6667,3.0,5.0,8.0,10.3333,8.0,9.6667,-0.6667,2.0,-2.3333,1.6667,1.3333,-0.6667,0.6667,0.6667,0.0,2.0,2.0,0.0,0.0,2.2341
