segment,total_games,accuracy,brier,log_loss,avg_confidence,over_55_games,over_55_accuracy
전체 기간,3002,0.542,0.247,0.688,0.544,1278,0.583
최근 3년,3002,0.542,0.247,0.688,0.544,1278,0.583
최근 2년,2396,0.548,0.247,0.688,0.545,1086,0.581
2026 시즌,970,0.567,0.246,0.685,0.545,434,0.594
2024-07,168,0.571,0.245,0.684,0.537,44,0.545
2024-08,238,0.429,0.256,0.705,0.537,54,0.481
2024-09,198,0.571,0.243,0.679,0.545,94,0.681
2024-10,2,1.0,0.217,0.626,0.535,0,
2025-03,76,0.553,0.255,0.704,0.552,36,0.444
2025-04,226,0.513,0.249,0.691,0.546,104,0.596
2025-05,276,0.518,0.249,0.691,0.548,130,0.531
2025-06,214,0.514,0.25,0.693,0.542,90,0.533
2025-07,192,0.625,0.239,0.672,0.548,96,0.667
2025-08,246,0.488,0.252,0.698,0.542,100,0.54
2025-09,184,0.592,0.244,0.682,0.546,92,0.63
2025-10,12,0.333,0.258,0.71,0.547,4,0.5
2026-03,28,0.571,0.249,0.69,0.555,18,0.667
2026-04,242,0.57,0.246,0.685,0.543,84,0.571
2026-05,252,0.571,0.245,0.683,0.546,122,0.574
2026-06,240,0.575,0.243,0.678,0.543,108,0.667
2026-07,196,0.531,0.251,0.695,0.546,92,0.522
2026-08,12,0.833,0.224,0.641,0.546,10,0.8
