segment,candidate_feature_set,baseline_total_games,candidate_total_games,baseline_accuracy,candidate_accuracy,accuracy_delta,baseline_brier,candidate_brier,brier_delta,baseline_over_55_games,candidate_over_55_games,baseline_over_55_accuracy,candidate_over_55_accuracy,over_55_accuracy_delta,interpretation
전체,baseline_plus_momentum,3034,3034,0.542,0.551,0.009,0.248,0.247,-0.001,1519,1416,0.572,0.572,0.0,개선
연승 흐름,baseline_plus_momentum,618,618,0.515,0.521,0.006,0.25,0.25,0.0,327,314,0.547,0.545,-0.002,개선
연패 흐름,baseline_plus_momentum,607,607,0.56,0.573,0.013,0.244,0.245,0.001,349,296,0.602,0.591,-0.011,개선
명시 연승 streak,baseline_plus_momentum,768,768,0.53,0.533,0.003,0.249,0.25,0.001,385,359,0.558,0.538,-0.02,변화 제한적
명시 연패 streak,baseline_plus_momentum,769,769,0.576,0.588,0.012,0.244,0.244,0.0,394,362,0.602,0.61,0.008,개선
박빙 경기,baseline_plus_momentum,967,951,0.52,0.554,0.034,0.25,0.248,-0.002,0,0,,,,개선
대승/대패 경기,baseline_plus_momentum,1078,1078,0.578,0.596,0.018,0.243,0.243,0.0,543,519,0.626,0.605,-0.021,개선
홈팀 관점,baseline_plus_momentum,1517,1517,0.542,0.552,0.01,0.248,0.247,-0.001,757,705,0.573,0.574,0.001,개선
원정팀 관점,baseline_plus_momentum,1517,1517,0.541,0.551,0.01,0.248,0.247,-0.001,762,711,0.571,0.57,-0.001,개선
득실차 차이 큼,baseline_plus_momentum,1388,1388,0.554,0.559,0.005,0.247,0.247,0.0,762,711,0.572,0.571,-0.001,개선
최근 5경기 흐름 차이 큼,baseline_plus_momentum,1822,1822,0.535,0.544,0.009,0.249,0.249,0.0,989,903,0.558,0.56,0.002,개선
강팀 vs 약팀,baseline_plus_momentum,1180,1180,0.53,0.55,0.02,0.25,0.249,-0.001,637,606,0.545,0.545,0.0,개선
최근 3년,baseline_plus_momentum,3034,3034,0.542,0.551,0.009,0.248,0.247,-0.001,1519,1416,0.572,0.572,0.0,개선
2026 시즌,baseline_plus_momentum,1124,1124,0.56,0.569,0.009,0.245,0.245,0.0,590,542,0.61,0.609,-0.001,개선
