strategy_name,model_name,feature_set,games_total,picked_games,coverage_rate,pick_accuracy,all_game_accuracy,daily_top1_games,daily_top1_accuracy,daily_top2_games,daily_top2_accuracy,avg_pick_probability,brier,log_loss,2026_pick_accuracy,2026_daily_top1_accuracy,2026_daily_top2_accuracy,rolling_pick_accuracy,interpretation
all_games,current production model,production_feature_set,1483,1483,1.0,0.542,0.542,343,0.603,674,0.592,0.537,0.247,0.687,0.545,0.604,0.588,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,current production model,production_feature_set,1483,1061,0.971,0.568,0.542,333,0.607,639,0.595,0.548,0.247,0.687,0.571,0.602,0.588,,실전 선택픽 성능 개선 후보
probability_ge_53,current production model,production_feature_set,1483,839,0.942,0.572,0.542,323,0.607,595,0.6,0.554,0.247,0.687,0.57,0.602,0.601,,실전 선택픽 성능 개선 후보
probability_ge_54,current production model,production_feature_set,1483,632,0.892,0.578,0.542,306,0.605,518,0.602,0.561,0.247,0.687,0.591,0.602,0.609,,실전 선택픽 성능 개선 후보
probability_ge_55,current production model,production_feature_set,1483,447,0.802,0.593,0.542,275,0.618,411,0.611,0.567,0.247,0.687,0.595,0.598,0.605,,실전 선택픽 성능 개선 후보
daily_top1,current production model,production_feature_set,1483,343,1.0,0.603,0.542,343,0.603,343,0.603,0.564,0.247,0.687,0.604,0.604,0.604,,실전 선택픽 성능 개선 후보
daily_top2,current production model,production_feature_set,1483,674,1.0,0.592,0.542,343,0.603,674,0.592,0.555,0.247,0.687,0.588,0.604,0.588,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_52,current production model,production_feature_set,1483,333,0.971,0.607,0.542,333,0.607,333,0.607,0.565,0.247,0.687,0.602,0.602,0.602,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_53,current production model,production_feature_set,1483,323,0.942,0.607,0.542,323,0.607,323,0.607,0.566,0.247,0.687,0.602,0.602,0.602,,실전 선택픽 성능 개선 후보
avoid_false_signal_features,current production model,production_feature_set,1483,0,0.0,,0.542,0,,0,,,0.247,0.687,,,,,전체 경기 대비 선택픽 우위가 제한적
avoid_high_volatility_false_signal,current production model,production_feature_set,1483,1483,1.0,0.542,0.542,343,0.603,674,0.592,0.537,0.247,0.687,0.545,0.604,0.588,,전체 경기 대비 선택픽 우위가 제한적
avoid_venue_gap_false_signal,current production model,production_feature_set,1483,1483,1.0,0.542,0.542,343,0.603,674,0.592,0.537,0.247,0.687,0.545,0.604,0.588,,전체 경기 대비 선택픽 우위가 제한적
all_games,LogisticRegression conservative model,baseline_core,1483,1483,1.0,0.535,0.535,343,0.58,674,0.55,0.559,0.249,0.691,0.547,0.568,0.552,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,LogisticRegression conservative model,baseline_core,1483,1181,0.988,0.544,0.535,339,0.575,653,0.554,0.571,0.249,0.691,0.557,0.568,0.562,,실전 선택픽 성능 개선 후보
probability_ge_53,LogisticRegression conservative model,baseline_core,1483,1018,0.983,0.55,0.535,337,0.579,631,0.563,0.579,0.249,0.691,0.552,0.573,0.565,,실전 선택픽 성능 개선 후보
probability_ge_54,LogisticRegression conservative model,baseline_core,1483,873,0.962,0.552,0.535,330,0.576,603,0.564,0.586,0.249,0.691,0.554,0.573,0.576,,실전 선택픽 성능 개선 후보
probability_ge_55,LogisticRegression conservative model,baseline_core,1483,740,0.933,0.564,0.535,320,0.584,560,0.577,0.594,0.249,0.691,0.559,0.578,0.581,,실전 선택픽 성능 개선 후보
daily_top1,LogisticRegression conservative model,baseline_core,1483,343,1.0,0.58,0.535,343,0.58,343,0.58,0.609,0.249,0.691,0.568,0.568,0.568,,실전 선택픽 성능 개선 후보
daily_top2,LogisticRegression conservative model,baseline_core,1483,674,1.0,0.55,0.535,343,0.58,674,0.55,0.59,0.249,0.691,0.552,0.568,0.552,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_52,LogisticRegression conservative model,baseline_core,1483,339,0.988,0.575,0.535,339,0.575,339,0.575,0.61,0.249,0.691,0.568,0.568,0.568,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_53,LogisticRegression conservative model,baseline_core,1483,337,0.983,0.579,0.535,337,0.579,337,0.579,0.61,0.249,0.691,0.573,0.573,0.573,,실전 선택픽 성능 개선 후보
avoid_false_signal_features,LogisticRegression conservative model,baseline_core,1483,0,0.0,,0.535,0,,0,,,0.249,0.691,,,,,전체 경기 대비 선택픽 우위가 제한적
avoid_high_volatility_false_signal,LogisticRegression conservative model,baseline_core,1483,1483,1.0,0.535,0.535,343,0.58,674,0.55,0.559,0.249,0.691,0.547,0.568,0.552,,전체 경기 대비 선택픽 우위가 제한적
avoid_venue_gap_false_signal,LogisticRegression conservative model,baseline_core,1483,1483,1.0,0.535,0.535,343,0.58,674,0.55,0.559,0.249,0.691,0.547,0.568,0.552,,전체 경기 대비 선택픽 우위가 제한적
all_games,GradientBoosting conservative model,baseline_core,1483,1483,1.0,0.54,0.54,343,0.569,674,0.565,0.551,0.248,0.689,0.548,0.568,0.57,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,GradientBoosting conservative model,baseline_core,1483,1179,0.991,0.546,0.54,340,0.568,661,0.566,0.562,0.248,0.689,0.547,0.568,0.571,,실전 선택픽 성능 개선 후보
probability_ge_53,GradientBoosting conservative model,baseline_core,1483,1025,0.98,0.552,0.54,336,0.565,629,0.568,0.568,0.248,0.689,0.562,0.573,0.57,,실전 선택픽 성능 개선 후보
probability_ge_54,GradientBoosting conservative model,baseline_core,1483,894,0.959,0.558,0.54,329,0.571,606,0.571,0.573,0.248,0.689,0.572,0.578,0.581,,실전 선택픽 성능 개선 후보
probability_ge_55,GradientBoosting conservative model,baseline_core,1483,716,0.921,0.571,0.54,316,0.579,546,0.581,0.579,0.248,0.689,0.585,0.579,0.585,,실전 선택픽 성능 개선 후보
daily_top1,GradientBoosting conservative model,baseline_core,1483,343,1.0,0.569,0.54,343,0.569,343,0.569,0.587,0.248,0.689,0.568,0.568,0.568,,실전 선택픽 성능 개선 후보
daily_top2,GradientBoosting conservative model,baseline_core,1483,674,1.0,0.565,0.54,343,0.569,674,0.565,0.575,0.248,0.689,0.57,0.568,0.57,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_52,GradientBoosting conservative model,baseline_core,1483,340,0.991,0.568,0.54,340,0.568,340,0.568,0.587,0.248,0.689,0.568,0.568,0.568,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_53,GradientBoosting conservative model,baseline_core,1483,336,0.98,0.565,0.54,336,0.565,336,0.565,0.588,0.248,0.689,0.573,0.573,0.573,,실전 선택픽 성능 개선 후보
avoid_false_signal_features,GradientBoosting conservative model,baseline_core,1483,0,0.0,,0.54,0,,0,,,0.248,0.689,,,,,전체 경기 대비 선택픽 우위가 제한적
avoid_high_volatility_false_signal,GradientBoosting conservative model,baseline_core,1483,1483,1.0,0.54,0.54,343,0.569,674,0.565,0.551,0.248,0.689,0.548,0.568,0.57,,전체 경기 대비 선택픽 우위가 제한적
avoid_venue_gap_false_signal,GradientBoosting conservative model,baseline_core,1483,1483,1.0,0.54,0.54,343,0.569,674,0.565,0.551,0.248,0.689,0.548,0.568,0.57,,전체 경기 대비 선택픽 우위가 제한적
all_games,HistGradientBoosting model,baseline_core,1483,1483,1.0,0.53,0.53,343,0.574,674,0.561,0.554,0.249,0.691,0.533,0.604,0.561,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,HistGradientBoosting model,baseline_core,1483,1182,0.991,0.543,0.53,340,0.576,660,0.561,0.565,0.249,0.691,0.536,0.604,0.561,,실전 선택픽 성능 개선 후보
probability_ge_53,HistGradientBoosting model,baseline_core,1483,1037,0.977,0.548,0.53,335,0.582,638,0.564,0.57,0.249,0.691,0.551,0.609,0.569,,실전 선택픽 성능 개선 후보
probability_ge_54,HistGradientBoosting model,baseline_core,1483,883,0.959,0.555,0.53,329,0.584,607,0.57,0.576,0.249,0.691,0.561,0.62,0.576,,실전 선택픽 성능 개선 후보
probability_ge_55,HistGradientBoosting model,baseline_core,1483,756,0.933,0.554,0.53,320,0.575,569,0.569,0.581,0.249,0.691,0.566,0.613,0.585,,실전 선택픽 성능 개선 후보
daily_top1,HistGradientBoosting model,baseline_core,1483,343,1.0,0.574,0.53,343,0.574,343,0.574,0.591,0.249,0.691,0.604,0.604,0.604,,실전 선택픽 성능 개선 후보
daily_top2,HistGradientBoosting model,baseline_core,1483,674,1.0,0.561,0.53,343,0.574,674,0.561,0.579,0.249,0.691,0.561,0.604,0.561,,실전 선택픽 성능 개선 후보
