feature,importance_mean,importance_std
opponent_season_allowed,0.006016,0.002473
team_season_runs,0.002797,0.00184
season_allowed_gap,0.00262,0.000252
opponent_recent_10g_runs,0.002255,0.00116
opponent_season_runs,0.001775,0.000797
opponent_recent_10g_allowed,0.000988,0.001532
season_runs_gap,0.000619,0.002349
back_to_back,0.000606,0.000242
opponent_rest_days,0.000419,0.001376
recent_10g_runs_gap,0.000408,0.000284
recent_10g_allowed_gap,0.000396,0.000287
season_win_rate_gap,0.000262,0.000252
opponent_recent_10g_win_rate,0.000138,0.000103
team_recent_10g_run_diff,8.9e-05,0.000263
team_recent_3g_runs,4.9e-05,0.000393
team_season_win_rate,4.4e-05,6.7e-05
opponent_season_win_rate,1.8e-05,8.9e-05
team_recent_5g_runs,8e-06,3.1e-05
is_home,0.0,0.000315
month,0.0,0.000763
rest_days,0.0,2e-05
team_recent_10g_runs,0.0,0.000946
team_recent_5g_allowed,0.0,0.000144
team_recent_10g_allowed,0.0,0.00088
team_season_allowed,0.0,0.001141
team_recent_5g_win_rate,0.0,0.000295
team_recent_10g_win_rate,0.0,0.000286
team_recent_5g_run_diff,0.0,0.000296
opponent_recent_5g_runs,0.0,0.000205
opponent_recent_5g_allowed,0.0,5.1e-05
opponent_recent_5g_win_rate,0.0,0.000195
opponent_recent_5g_run_diff,0.0,0.00014
opponent_recent_10g_run_diff,0.0,0.000272
opponent_back_to_back,0.0,0.000264
recent_5g_runs_gap,0.0,0.000414
recent_5g_allowed_gap,0.0,0.000164
recent_5g_run_diff_gap,0.0,4.2e-05
recent_10g_run_diff_gap,0.0,0.000283
recent_10g_win_rate_gap,0.0,9.3e-05
rest_days_gap,0.0,0.000888
