ballpark,games,actual_total_runs_avg,expected_total_runs_avg,total_runs_mae,total_runs_bias,bias_direction
청주,5,10.0,10.4468,6.4765,0.4468,중립
광주,143,10.2238,10.0965,4.2762,-0.1272,중립
문학,139,9.8849,10.0448,4.2178,0.1599,중립
사직,138,10.9058,10.0013,4.1706,-0.9045,총득점 과소예측
창원,136,11.2132,10.2053,4.0934,-1.0079,총득점 과소예측
울산,12,6.6667,10.2052,3.8042,3.5386,총득점 과대예측
대전,99,9.9293,9.7724,3.798,-0.1569,중립
수원,144,10.0972,10.0681,3.7871,-0.0291,중립
잠실,289,9.4844,10.0803,3.7829,0.5959,총득점 과대예측
고척,147,8.7075,10.1469,3.7324,1.4394,총득점 과대예측
대구,142,10.9225,10.0463,3.7145,-0.8762,총득점 과소예측
포항,7,8.7143,10.3835,3.5213,1.6692,총득점 과대예측
한밭,42,10.381,10.5708,3.2772,0.1899,중립
