season,date,game_key,ballpark,away_team,home_team,away_actual_runs,away_expected_runs,away_run_error,home_actual_runs,home_expected_runs,home_run_error,run_mae,actual_total_runs,expected_total_runs,total_run_error,total_abs_error,expected_run_diff,actual_run_diff,home_win_probability,predicted_winner,actual_winner,win_correct,favorite_probability_bucket,over_under_pick,actual_over_under_result,over_under_correct,handicap_pick,handicap_correct,season_phase
2024,2024-05-21,20240521HTLT0,사직,KIA,롯데,1.0,5.2797,4.2797,6.0,4.6089,-1.3911,2.8354,7.0,9.8886,2.8886,2.8886,-0.6708,5.0,0.3984,KIA,롯데,False,60~65%,오버,언더,False,롯데 +2.5,1.0,시즌 초반
2024,2024-05-21,20240521KTSS0,대구,KT,삼성,8.0,5.544,-2.456,5.0,5.4917,0.4917,1.4739,13.0,11.0358,-1.9642,1.9642,-0.0523,-3.0,0.521,삼성,KT,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-21,20240521LGHH0,한밭,LG,한화,4.0,5.5194,1.5194,8.0,5.0753,-2.9247,2.2221,12.0,10.5947,-1.4053,1.4053,-0.4441,4.0,0.4427,LG,한화,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-21,20240521NCWO0,고척,NC,키움,5.0,5.5083,0.5083,3.0,4.6651,1.6651,1.0867,8.0,10.1734,2.1734,2.1734,-0.8432,-2.0,0.3657,NC,NC,True,60~65%,오버,언더,False,키움 +2.5,1.0,시즌 초반
2024,2024-05-21,20240521SKOB0,잠실,SSG,두산,6.0,4.9387,-1.0613,8.0,5.4228,-2.5772,1.8192,14.0,10.3615,-3.6385,3.6385,0.4841,2.0,0.6259,두산,두산,True,60~65%,오버,오버,True,관망,,시즌 초반
2024,2024-05-22,20240522HTLT0,사직,KIA,롯데,2.0,5.2939,3.2939,4.0,4.5926,0.5926,1.9433,6.0,9.8865,3.8865,3.8865,-0.7013,2.0,0.3925,KIA,롯데,False,60~65%,오버,언더,False,롯데 +2.5,1.0,시즌 초반
2024,2024-05-22,20240522KTSS0,대구,KT,삼성,1.0,5.5551,4.5551,3.0,5.4917,2.4917,3.5234,4.0,11.0468,7.0468,7.0468,-0.0634,2.0,0.5188,삼성,삼성,True,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-05-22,20240522LGHH0,한밭,LG,한화,5.0,5.4785,0.4785,7.0,5.1252,-1.8748,1.1766,12.0,10.6037,-1.3963,1.3963,-0.3533,2.0,0.4607,LG,한화,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-22,20240522NCWO0,고척,NC,키움,4.0,5.5083,1.5083,3.0,4.4007,1.4007,1.4545,7.0,9.909,2.909,2.909,-1.1076,-1.0,0.318,NC,NC,True,65% 이상,오버,언더,False,키움 +2.5,1.0,시즌 초반
2024,2024-05-22,20240522SKOB0,잠실,SSG,두산,1.0,5.0843,4.0843,3.0,5.4225,2.4225,3.2534,4.0,10.5068,6.5068,6.5068,0.3382,2.0,0.5981,두산,두산,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-05-23,20240523HTLT0,사직,KIA,롯데,6.0,5.2565,-0.7435,10.0,4.5742,-5.4258,3.0846,16.0,9.8307,-6.1693,6.1693,-0.6823,4.0,0.3962,KIA,롯데,False,60~65%,오버,오버,True,롯데 +2.5,1.0,시즌 초반
2024,2024-05-23,20240523KTSS0,대구,KT,삼성,9.0,5.5022,-3.4978,2.0,5.5296,3.5296,3.5137,11.0,11.0317,0.0317,0.0317,0.0274,-7.0,0.537,삼성,KT,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-23,20240523LGHH0,한밭,LG,한화,8.0,5.519,-2.481,4.0,5.0572,1.0572,1.7691,12.0,10.5762,-1.4238,1.4238,-0.4618,-4.0,0.4392,LG,LG,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-23,20240523NCWO0,고척,NC,키움,4.0,5.3772,1.3772,6.0,4.3724,-1.6276,1.5024,10.0,9.7495,-0.2505,0.2505,-1.0048,2.0,0.3362,NC,키움,False,65% 이상,오버,오버,True,키움 +2.5,1.0,시즌 초반
2024,2024-05-23,20240523SKOB0,잠실,SSG,두산,3.0,5.1404,2.1404,10.0,5.4225,-4.5775,3.359,13.0,10.5629,-2.4371,2.4371,0.282,7.0,0.5872,두산,두산,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-24,20240524HHSK0,문학,한화,SSG,7.0,5.5493,-1.4507,5.0,5.5228,0.5228,0.9867,12.0,11.0721,-0.9279,0.9279,-0.0265,-2.0,0.5262,SSG,한화,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-24,20240524NCLG0,잠실,NC,LG,4.0,5.2931,1.2931,11.0,5.0824,-5.9176,3.6054,15.0,10.3755,-4.6245,4.6245,-0.2107,7.0,0.4892,NC,LG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-24,20240524OBHT0,광주,두산,KIA,7.0,5.1797,-1.8203,5.0,5.6969,0.6969,1.2586,12.0,10.8766,-1.1234,1.1234,0.5173,-2.0,0.6321,KIA,두산,False,60~65%,오버,오버,True,두산 +2.5,1.0,시즌 초반
2024,2024-05-24,20240524SSLT0,사직,삼성,롯데,11.0,5.0667,-5.9333,5.0,4.7917,-0.2083,3.0708,16.0,9.8584,-6.1416,6.1416,-0.2749,-6.0,0.4764,삼성,삼성,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-24,20240524WOKT0,수원,키움,KT,4.0,5.1345,1.1345,5.0,5.2374,0.2374,0.686,9.0,10.3719,1.3719,1.3719,0.1029,1.0,0.552,KT,KT,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-25,20240525HHSK0,문학,한화,SSG,4.0,5.5121,1.5121,2.0,5.4332,3.4332,2.4726,6.0,10.9453,4.9453,4.9453,-0.0789,-2.0,0.5157,SSG,한화,False,50~55%,오버,언더,False,관망,,시즌 초반
