ballpark,games,avg_total_runs,avg_home_runs,run_factor,sample_note
청주,30,11.7,4.5667,1.1619,표본 주의
포항,39,10.4103,5.5641,1.0338,표본 주의
울산,44,7.4091,3.8636,0.7358,일반
대전,99,9.9293,5.2828,0.986,일반
마산,213,10.4319,5.2958,1.0359,일반
창원,508,10.2244,5.2776,1.0153,일반
한밭,603,9.9337,4.5904,0.9865,일반
사직,693,10.7186,5.1645,1.0644,일반
대구,693,10.9553,5.4199,1.0879,일반
문학,728,10.2569,5.1305,1.0186,일반
수원,731,10.1669,4.9699,1.0096,일반
광주,734,10.2071,5.1635,1.0136,일반
고척,735,9.5986,4.8082,0.9532,일반
잠실,1461,9.3662,4.9247,0.9301,일반
