team,games,actual_avg_runs,predicted_avg_runs,run_mae,run_bias,opponent_actual_avg_runs,opponent_predicted_avg_runs,opponent_run_mae,opponent_run_bias,bias_direction
두산,283,4.8481,5.0499,2.9601,0.2018,4.9753,5.046,2.3943,0.0708,중립
LG,288,5.4375,5.2216,2.8196,-0.2159,4.5451,4.8053,2.5378,0.2602,중립
한화,289,5.2007,5.0221,2.7722,-0.1786,4.654,4.9697,2.7108,0.3157,중립
KT,285,5.014,5.0109,2.7711,-0.0031,4.9509,5.034,2.6984,0.0832,중립
KIA,288,5.2188,5.1093,2.7328,-0.1095,5.1042,5.0194,2.8428,-0.0848,중립
키움,291,4.1546,4.7956,2.7286,0.6409,5.7045,5.4581,2.9352,-0.2464,지속 과대예측
롯데,284,5.0246,4.946,2.7157,-0.0786,5.2676,5.1123,2.8886,-0.1553,중립
삼성,289,5.4567,5.1927,2.7144,-0.2641,4.692,4.8347,2.5884,0.1426,지속 과소예측
NC,286,5.1469,5.0777,2.6651,-0.0692,5.5769,5.0682,2.9797,-0.5087,중립
SSG,287,4.7735,4.9394,2.6505,0.1658,4.8014,5.0146,2.9475,0.2132,중립
